date,value
2016-01-01,25.37
2016-02-01,25.38
2016-03-01,25.45
2016-04-01,25.53
2016-05-01,25.58
2016-06-01,25.62
2016-07-01,25.69
2016-08-01,25.71
2016-09-01,25.77
2016-10-01,25.9
2016-11-01,25.9
2016-12-01,25.93
2017-01-01,26.0
2017-02-01,26.07
2017-03-01,26.11
2017-04-01,26.18
2017-05-01,26.21
2017-06-01,26.26
2017-07-01,26.35
2017-08-01,26.37
2017-09-01,26.49
2017-10-01,26.5
2017-11-01,26.54
2017-12-01,26.63
2018-01-01,26.72
2018-02-01,26.74
2018-03-01,26.85
2018-04-01,26.91
2018-05-01,26.98
2018-06-01,27.03
2018-07-01,27.1
2018-08-01,27.21
2018-09-01,27.32
2018-10-01,27.37
2018-11-01,27.44
2018-12-01,27.56
2019-01-01,27.59
2019-02-01,27.69
2019-03-01,27.77
2019-04-01,27.79
2019-05-01,27.88
2019-06-01,27.97
2019-07-01,28.03
2019-08-01,28.14
2019-09-01,28.16
2019-10-01,28.24
2019-11-01,28.34
2019-12-01,28.38
2020-01-01,28.43
2020-02-01,28.54
2020-03-01,28.73
2020-04-01,30.04
2020-05-01,29.72
2020-06-01,29.38
2020-07-01,29.39
2020-08-01,29.49
2020-09-01,29.51
2020-10-01,29.54
2020-11-01,29.64
2020-12-01,29.91
2021-01-01,29.93
2021-02-01,30.05
2021-03-01,30.03
2021-04-01,30.22
2021-05-01,30.41
2021-06-01,30.54
2021-07-01,30.66
2021-08-01,30.78
2021-09-01,30.98
2021-10-01,31.14
2021-11-01,31.23
2021-12-01,31.39
2022-01-01,31.6
2022-02-01,31.64
2022-03-01,31.8
2022-04-01,31.96
2022-05-01,32.1
2022-06-01,32.19
2022-07-01,32.34
2022-08-01,32.44
2022-09-01,32.57
2022-10-01,32.7
2022-11-01,32.82
2022-12-01,32.94
2023-01-01,33.02
2023-02-01,33.15
2023-03-01,33.27
2023-04-01,33.43
2023-05-01,33.5
2023-06-01,33.69
2023-07-01,33.85
2023-08-01,33.89
2023-09-01,34.01
2023-10-01,34.08
2023-11-01,34.17
2023-12-01,34.29
2024-01-01,34.47
2024-02-01,34.52
2024-03-01,34.65
2024-04-01,34.76
2024-05-01,34.89
2024-06-01,35.01
2024-07-01,35.08
2024-08-01,35.22
2024-09-01,35.34
2024-10-01,35.46
2024-11-01,35.6
2024-12-01,35.69
2025-01-01,35.84
2025-02-01,35.94
2025-03-01,36.11
2025-04-01,36.12
2025-05-01,36.28
2025-06-01,36.36
2025-07-01,36.47
2025-08-01,36.62
2025-09-01,36.7
2025-10-01,36.85
2025-11-01,37.0
2025-12-01,37.02
2026-01-01,37.15
2026-02-01,37.27
2026-03-01,37.35
2026-04-01,37.41
2026-05-01,37.49
2026-06-01,37.59
2026-07-01,37.65
2026-08-01,37.75
