date,value
2016-01-01,244.528
2016-02-01,245.68
2016-03-01,246.358
2016-04-01,246.992
2016-05-01,247.544
2016-06-01,247.794
2016-07-01,247.744
2016-08-01,248.278
2016-09-01,248.731
2016-10-01,249.218
2016-11-01,249.227
2016-12-01,249.134
2017-01-01,250.083
2017-02-01,251.143
2017-03-01,251.29
2017-04-01,251.642
2017-05-01,251.835
2017-06-01,252.014
2017-07-01,251.936
2017-08-01,252.46
2017-09-01,252.941
2017-10-01,253.638
2017-11-01,253.492
2017-12-01,253.558
2018-01-01,254.638
2018-02-01,255.783
2018-03-01,256.61
2018-04-01,257.025
2018-05-01,257.469
2018-06-01,257.697
2018-07-01,257.867
2018-08-01,258.012
2018-09-01,258.429
2018-10-01,259.063
2018-11-01,259.105
2018-12-01,259.083
2019-01-01,260.122
2019-02-01,261.114
2019-03-01,261.836
2019-04-01,262.332
2019-05-01,262.59
2019-06-01,263.177
2019-07-01,263.566
2019-08-01,264.169
2019-09-01,264.522
2019-10-01,265.059
2019-11-01,265.108
2019-12-01,264.935
2020-01-01,266.004
2020-02-01,267.268
2020-03-01,267.312
2020-04-01,266.089
2020-05-01,265.799
2020-06-01,266.302
2020-07-01,267.703
2020-08-01,268.756
2020-09-01,269.054
2020-10-01,269.328
2020-11-01,269.473
2020-12-01,269.226
2021-01-01,269.755
2021-02-01,270.696
2021-03-01,271.713
2021-04-01,273.968
2021-05-01,275.893
2021-06-01,278.218
2021-07-01,279.146
2021-08-01,279.507
2021-09-01,279.884
2021-10-01,281.617
2021-11-01,282.754
2021-12-01,283.908
2022-01-01,285.996
2022-02-01,288.059
2022-03-01,289.305
2022-04-01,290.846
2022-05-01,292.506
2022-06-01,294.68
2022-07-01,295.646
2022-08-01,297.178
2022-09-01,298.442
2022-10-01,299.315
2022-11-01,299.6
2022-12-01,300.113
2023-01-01,301.962
2023-02-01,304.011
2023-03-01,305.476
2023-04-01,306.899
2023-05-01,308.096
2023-06-01,308.91
2023-07-01,309.402
2023-08-01,310.103
2023-09-01,310.817
2023-10-01,311.38
2023-11-01,311.606
2023-12-01,311.907
2024-01-01,313.623
2024-02-01,315.419
2024-03-01,317.088
2024-04-01,317.978
2024-05-01,318.629
2024-06-01,319.003
2024-07-01,319.214
2024-08-01,320.017
2024-09-01,321.109
2024-10-01,321.758
2024-11-01,321.947
2024-12-01,322.007
2025-01-01,323.842
2025-02-01,325.252
2025-03-01,325.933
2025-04-01,326.815
2025-05-01,327.509
2025-06-01,328.364
2025-07-01,328.98
2025-08-01,329.97
2025-09-01,330.804
2025-11-01,330.425
2025-12-01,330.506
