date,value
2016-01-01,143210.0
2016-02-01,143406.0
2016-03-01,143662.0
2016-04-01,143854.0
2016-05-01,143900.0
2016-06-01,144147.0
2016-07-01,144520.0
2016-08-01,144661.0
2016-09-01,144967.0
2016-10-01,145065.0
2016-11-01,145183.0
2016-12-01,145408.0
2017-01-01,145628.0
2017-02-01,145846.0
2017-03-01,145970.0
2017-04-01,146175.0
2017-05-01,146380.0
2017-06-01,146583.0
2017-07-01,146772.0
2017-08-01,146919.0
2017-09-01,147008.0
2017-10-01,147149.0
2017-11-01,147372.0
2017-12-01,147523.0
2018-01-01,147660.0
2018-02-01,148054.0
2018-03-01,148280.0
2018-04-01,148420.0
2018-05-01,148742.0
2018-06-01,148960.0
2018-07-01,149020.0
2018-08-01,149277.0
2018-09-01,149358.0
2018-10-01,149527.0
2018-11-01,149617.0
2018-12-01,149809.0
2019-01-01,150060.0
2019-02-01,150067.0
2019-03-01,150295.0
2019-04-01,150591.0
2019-05-01,150618.0
2019-06-01,150838.0
2019-07-01,150937.0
2019-08-01,151169.0
2019-09-01,151365.0
2019-10-01,151460.0
2019-11-01,151667.0
2019-12-01,151794.0
2020-01-01,152031.0
2020-02-01,152293.0
2020-03-01,150895.0
2020-04-01,130426.0
2020-05-01,133040.0
2020-06-01,137671.0
2020-07-01,139255.0
2020-08-01,140821.0
2020-09-01,141770.0
2020-10-01,142460.0
2020-11-01,142733.0
2020-12-01,142548.0
2021-01-01,142863.0
2021-02-01,143380.0
2021-03-01,144232.0
2021-04-01,144587.0
2021-05-01,145065.0
2021-06-01,145820.0
2021-07-01,146762.0
2021-08-01,147314.0
2021-09-01,147771.0
2021-10-01,148572.0
2021-11-01,149230.0
2021-12-01,149816.0
2022-01-01,150006.0
2022-02-01,150825.0
2022-03-01,151315.0
2022-04-01,151623.0
2022-05-01,151924.0
2022-06-01,152358.0
2022-07-01,153072.0
2022-08-01,153362.0
2022-09-01,153582.0
2022-10-01,153939.0
2022-11-01,154242.0
2022-12-01,154342.0
2023-01-01,154776.0
2023-02-01,155066.0
2023-03-01,155134.0
2023-04-01,155375.0
2023-05-01,155655.0
2023-06-01,155880.0
2023-07-01,156043.0
2023-08-01,156261.0
2023-09-01,156417.0
2023-10-01,156576.0
2023-11-01,156703.0
2023-12-01,156857.0
2024-01-01,157032.0
2024-02-01,157238.0
2024-03-01,157466.0
2024-04-01,157530.0
2024-05-01,157608.0
2024-06-01,157695.0
2024-07-01,157748.0
2024-08-01,157757.0
2024-09-01,157912.0
2024-10-01,157945.0
2024-11-01,158079.0
2024-12-01,158316.0
2025-01-01,158268.0
2025-02-01,158310.0
2025-03-01,158377.0
2025-04-01,158485.0
2025-05-01,158498.0
2025-06-01,158478.0
2025-07-01,158542.0
2025-08-01,158472.0
2025-09-01,158548.0
2025-10-01,158408.0
2025-11-01,158449.0
2025-12-01,158432.0
