date,value
2016-01-01,109.7
2016-02-01,109.6
2016-03-01,109.7
2016-04-01,110.0
2016-05-01,110.2
2016-06-01,110.8
2016-07-01,110.8
2016-08-01,110.5
2016-09-01,110.6
2016-10-01,111.0
2016-11-01,110.8
2016-12-01,111.0
2017-01-01,111.6
2017-02-01,111.8
2017-03-01,112.1
2017-04-01,112.7
2017-05-01,112.7
2017-06-01,112.9
2017-07-01,113.0
2017-08-01,113.2
2017-09-01,113.5
2017-10-01,114.1
2017-11-01,114.1
2017-12-01,113.8
2018-01-01,114.5
2018-02-01,114.9
2018-03-01,115.4
2018-04-01,115.7
2018-05-01,116.2
2018-06-01,116.6
2018-07-01,116.8
2018-08-01,116.6
2018-09-01,116.6
2018-10-01,117.6
2018-11-01,117.1
2018-12-01,116.8
2019-01-01,116.7
2019-02-01,117.1
2019-03-01,117.7
2019-04-01,118.5
2019-05-01,118.6
2019-06-01,118.5
2019-07-01,118.7
2019-08-01,118.8
2019-09-01,118.3
2019-10-01,118.8
2019-11-01,118.3
2019-12-01,118.4
2020-01-01,119.0
2020-02-01,118.4
2020-03-01,118.1
2020-04-01,116.7
2020-05-01,117.3
2020-06-01,117.7
2020-07-01,118.4
2020-08-01,118.5
2020-09-01,118.7
2020-10-01,119.5
2020-11-01,119.3
2020-12-01,119.4
2021-01-01,120.9
2021-02-01,121.9
2021-03-01,123.0
2021-04-01,124.3
2021-05-01,125.5
2021-06-01,126.6
2021-07-01,127.824
2021-08-01,128.755
2021-09-01,129.116
2021-10-01,130.097
2021-11-01,131.09
2021-12-01,131.344
2022-01-01,133.074
2022-02-01,134.581
2022-03-01,137.341
2022-04-01,138.179
2022-05-01,139.419
2022-06-01,140.819
2022-07-01,140.284
2022-08-01,139.965
2022-09-01,140.066
2022-10-01,140.74
2022-11-01,140.785
2022-12-01,139.78
2023-01-01,140.713
2023-02-01,140.956
2023-03-01,140.995
2023-04-01,141.303
2023-05-01,140.912
2023-06-01,141.181
2023-07-01,141.871
2023-08-01,142.641
2023-09-01,142.618
2023-10-01,142.258
2023-11-01,141.869
2023-12-01,141.267
2024-01-01,142.186
2024-02-01,143.26
2024-03-01,143.784
2024-04-01,144.563
2024-05-01,144.504
2024-06-01,145.321
2024-07-01,145.264
2024-08-01,145.589
2024-09-01,145.671
2024-10-01,146.291
2024-11-01,145.994
2024-12-01,146.189
2025-01-01,147.604
2025-02-01,148.169
2025-03-01,148.319
2025-04-01,148.009
2025-05-01,148.427
2025-06-01,148.838
2025-07-01,149.898
2025-08-01,149.466
2025-09-01,150.1
2025-10-01,150.439
2025-11-01,150.58
2025-12-01,150.773
2026-01-01,152.145
2026-02-01,153.156
2026-03-01,154.675
2026-04-01,156.458
2026-05-01,157.128
2026-06-01,157.083
2026-07-01,156.927
