date,value
1990-01-01,3961054175.0
1990-02-01,4679888356.0
1990-03-01,5271316421.0
1990-04-01,4949850078.0
1990-05-01,5214809253.0
1990-06-01,5688724170.0
1990-07-01,5489519548.0
1990-08-01,5321170272.0
1990-09-01,6111779566.0
1990-10-01,5284861020.0
1990-11-01,6019915226.0
1990-12-01,7022842684.0
1991-01-01,4639437879.0
1991-02-01,4865481825.0
1991-03-01,5725878565.0
1991-04-01,5838734155.0
1991-05-01,6146188463.0
1991-06-01,6660355373.0
1991-07-01,5540039662.0
1991-08-01,5762574404.0
1991-09-01,5680160076.0
1991-10-01,6636718012.0
1991-11-01,6677433437.0
1991-12-01,7697120000.0
1992-01-01,5392307999.0
1992-02-01,5144164730.0
1992-03-01,6428776395.0
1992-04-01,6360945873.0
1992-05-01,6337088025.0
1992-06-01,7053355393.0
1992-07-01,6351882625.0
1992-08-01,6176554826.0
1992-09-01,6625463946.0
1992-10-01,7125700873.0
1992-11-01,6628663088.0
1992-12-01,7006611308.0
1993-01-01,5328925042.0
1993-02-01,5935294189.0
1993-03-01,6914790625.0
1993-04-01,6750706309.0
1993-05-01,6743280680.0
1993-06-01,7248352812.0
1993-07-01,6661972180.0
1993-08-01,6543793812.0
1993-09-01,7185482730.0
1993-10-01,7480809401.0
1993-11-01,7344628399.0
1993-12-01,8097829721.0
1994-01-01,6067778640.0
1994-02-01,6202545004.0
1994-03-01,7613307078.0
1994-04-01,7668379758.0
1994-05-01,7857583489.0
1994-06-01,8303631102.0
1994-07-01,7610753045.0
1994-08-01,7601015097.0
1994-09-01,8301226048.0
1994-10-01,8867096843.0
1994-11-01,9225325712.0
1994-12-01,10694595494.0
1995-01-01,7763771216.0
1995-02-01,8430051897.0
1995-03-01,9998218469.0
1995-04-01,10158376175.0
1995-05-01,10645669269.0
1995-06-01,11245523401.0
1995-07-01,10485091425.0
1995-08-01,10613203185.0
1995-09-01,10973969581.0
1995-10-01,11524428519.0
1995-11-01,11462588898.0
1995-12-01,11757096393.0
1996-01-01,9922981251.0
1996-02-01,9883553611.0
1996-03-01,11689416879.0
1996-04-01,10637202845.0
1996-05-01,11235754184.0
1996-06-01,11302160444.0
1996-07-01,9896713427.0
1996-08-01,9687368263.0
1996-09-01,9992278252.0
1996-10-01,11848367990.0
1996-11-01,11399314594.0
1996-12-01,12220025446.0
1997-01-01,9034439478.0
1997-02-01,9362327717.0
1997-03-01,11326863891.0
1997-04-01,11395616590.0
1997-05-01,11744573099.0
1997-06-01,12391592988.0
1997-07-01,11806837510.0
1997-08-01,11040482671.0
1997-09-01,11334410402.0
1997-10-01,12465302269.0
1997-11-01,11833848129.0
1997-12-01,12427908948.0
1998-01-01,9000456188.0
1998-02-01,11221887339.0
1998-03-01,12009284292.0
1998-04-01,12060648650.0
1998-05-01,11308331810.0
1998-06-01,11508915658.0
1998-07-01,10023785131.0
1998-08-01,9709131379.0
1998-09-01,10748282613.0
1998-10-01,10633666835.0
1998-11-01,11669584960.0
1998-12-01,12419167897.0
1999-01-01,9259511330.0
1999-02-01,9337212439.0
1999-03-01,11657189904.0
1999-04-01,11499780227.0
1999-05-01,11422801076.0
1999-06-01,12819358001.0
1999-07-01,11751364532.0
1999-08-01,11369995480.0
1999-09-01,11966385502.0
1999-10-01,13449648208.0
1999-11-01,14196950601.0
1999-12-01,14955261878.0
2000-01-01,12162424632.0
2000-02-01,12676042304.0
