date,value
1990-01-01,4624389070.0
1990-02-01,5252411393.0
1990-03-01,5941510058.0
1990-04-01,5321522240.0
1990-05-01,5917250352.0
1990-06-01,5464548292.0
1990-07-01,5412712005.0
1990-08-01,5632475991.0
1990-09-01,6127966916.0
1990-10-01,6161545396.0
1990-11-01,7522209347.0
1990-12-01,6465137176.0
1991-01-01,6043207123.0
1991-02-01,6701296437.0
1991-03-01,6822709460.0
1991-04-01,6907812121.0
1991-05-01,7116901952.0
1991-06-01,6575601312.0
1991-07-01,7126720120.0
1991-08-01,6536826782.0
1991-09-01,6434332051.0
1991-10-01,7085920306.0
1991-11-01,7363106042.0
1991-12-01,6810424162.0
1992-01-01,7336673363.0
1992-02-01,6364217818.0
1992-03-01,7197766090.0
1992-04-01,6831368645.0
1992-05-01,6926618286.0
1992-06-01,7246866886.0
1992-07-01,7158796979.0
1992-08-01,6074937022.0
1992-09-01,6126306483.0
1992-10-01,7242855875.0
1992-11-01,6403785984.0
1992-12-01,6865063557.0
1993-01-01,6300654913.0
1993-02-01,6487077659.0
1993-03-01,7177094651.0
1993-04-01,6852497504.0
1993-05-01,6948185951.0
1993-06-01,7532146651.0
1993-07-01,7193574588.0
1993-08-01,6569956842.0
1993-09-01,7020370171.0
1993-10-01,7007999546.0
1993-11-01,7256228743.0
1993-12-01,7454355170.0
1994-01-01,7530720515.0
1994-02-01,6703481928.0
1994-03-01,8317795710.0
1994-04-01,8064989152.0
1994-05-01,8459835033.0
1994-06-01,8285828838.0
1994-07-01,8339814852.0
1994-08-01,8568535058.0
1994-09-01,8807540297.0
1994-10-01,9090979835.0
1994-11-01,9570865831.0
1994-12-01,10607787917.0
1995-01-01,8965016211.0
1995-02-01,9891617062.0
1995-03-01,11666126617.0
1995-04-01,11092249609.0
1995-05-01,11816728458.0
1995-06-01,11832679470.0
1995-07-01,11309399888.0
1995-08-01,11514668081.0
1995-09-01,11616819814.0
1995-10-01,11731534393.0
1995-11-01,11876143955.0
1995-12-01,11805949247.0
1996-01-01,12047457951.0
1996-02-01,11482428526.0
1996-03-01,12135378138.0
1996-04-01,12673210791.0
1996-05-01,12678766749.0
1996-06-01,11727731344.0
1996-07-01,12729187211.0
1996-08-01,12958421134.0
1996-09-01,11403952915.0
1996-10-01,13544120766.0
1996-11-01,13360932880.0
1996-12-01,13597512086.0
1997-01-01,12510306919.0
1997-02-01,11484076823.0
1997-03-01,13055904412.0
1997-04-01,12801748025.0
1997-05-01,12272733538.0
1997-06-01,12287142599.0
1997-07-01,12643411332.0
1997-08-01,11498318615.0
1997-09-01,11545979139.0
1997-10-01,12590941554.0
1997-11-01,11710123858.0
1997-12-01,10215687682.0
1998-01-01,7482425124.0
1998-02-01,7884586623.0
1998-03-01,8287707239.0
1998-04-01,8208606372.0
1998-05-01,7586359537.0
1998-06-01,7746199267.0
1998-07-01,7091442684.0
1998-08-01,7117894731.0
1998-09-01,7252758616.0
1998-10-01,7647718877.0
1998-11-01,8326775959.0
1998-12-01,8649279254.0
1999-01-01,8628684191.0
1999-02-01,7633785958.0
1999-03-01,9304210663.0
1999-04-01,9100919599.0
1999-05-01,9456148400.0
1999-06-01,10203210472.0
1999-07-01,9777016754.0
1999-08-01,9855040974.0
1999-09-01,10126647828.0
1999-10-01,11357687565.0
1999-11-01,11730402772.0
1999-12-01,12578526821.0
2000-01-01,12594622951.0
2000-02-01,12023652340.0
2000-03-01,14212010950.0
2000-04-01,13344532361.0
2000-05-01,13283355868.0
2000-06-01,13177511346.0
2000-07-01,13671875974.0
2000-08-01,13441139154.0
2000-09-01,13291802853.0
2000-10-01,14104212460.0
2000-11-01,14160417535.0
2000-12-01,13175884505.0
2001-01-01,12431023265.0
2001-02-01,12732257752.0
2001-03-01,12951885920.0
2001-04-01,11212191603.0
2001-05-01,11554834256.0
2001-06-01,11718965562.0
2001-07-01,11107563960.0
2001-08-01,11337826455.0
2001-09-01,11709659052.0
2001-10-01,11506884216.0
2001-11-01,11532770841.0
2001-12-01,11301957824.0
2002-01-01,11326429503.0
2002-02-01,10471161473.0
2002-03-01,11990096560.0
2002-04-01,12559695940.0
2002-05-01,12698101146.0
2002-06-01,11934221152.0
2002-07-01,13031772817.0
2002-08-01,12860751255.0
2002-09-01,12991556974.0
2002-10-01,13817061264.0
2002-11-01,13993430939.0
2002-12-01,14451873658.0
2003-01-01,14494967095.0
2003-02-01,13858273532.0
2003-03-01,15870217081.0
2003-04-01,14758747261.0
2003-05-01,13523641960.0
2003-06-01,13428140976.0
2003-07-01,14898002767.0
2003-08-01,13541359852.0
2003-09-01,14531443629.0
2003-10-01,16536627563.0
2003-11-01,15760750117.0
2003-12-01,17624484995.0
2004-01-01,16208878984.0
2004-02-01,17468564274.0
2004-03-01,19120077557.0
2004-04-01,18829951950.0
2004-05-01,17895383933.0
2004-06-01,18544350319.0
2004-07-01,18390091238.0
2004-08-01,18124364252.0
2004-09-01,18193347220.0
2004-10-01,20408215578.0
2004-11-01,20311965265.0
2004-12-01,20967496582.0
2005-01-01,19450002565.0
2005-02-01,18396908232.0
2005-03-01,22779865562.0
2005-04-01,21244490305.0
2005-05-01,21161778310.0
2005-06-01,21288597136.0
2005-07-01,21508824279.0
2005-08-01,22000828395.0
2005-09-01,22718656801.0
2005-10-01,22652734595.0
2005-11-01,23849551801.0
2005-12-01,24186025712.0
2006-01-01,23089303902.0
2006-02-01,23507779778.0
2006-03-01,25945006577.0
2006-04-01,24485819704.0
2006-05-01,26210365788.0
2006-06-01,26023464339.0
2006-07-01,25549715314.0
2006-08-01,27029461493.0
2006-09-01,27636644300.0
2006-10-01,25621762171.0
2006-11-01,26765115252.0
2006-12-01,27518193849.0
2007-01-01,27560101371.0
2007-02-01,25406152348.0
2007-03-01,29295459795.0
2007-04-01,29596881973.0
2007-05-01,29856936901.0
2007-06-01,28508097938.0
2007-07-01,29223200901.0
2007-08-01,29642049553.0
2007-09-01,27193582182.0
2007-10-01,32741232017.0
2007-11-01,33926123532.0
2007-12-01,33895914764.0
2008-01-01,36318030381.0
2008-02-01,32624333870.0
2008-03-01,37110561085.0
2008-04-01,38260401219.0
2008-05-01,38704467916.0
2008-06-01,37827931015.0
2008-07-01,42952490651.0
2008-08-01,40420447474.0
2008-09-01,39528072583.0
2008-10-01,36098774481.0
2008-11-01,28853646431.0
2008-12-01,26575579734.0
2009-01-01,24898820926.0
2009-02-01,22598093992.0
2009-03-01,23920621668.0
2009-04-01,24873845211.0
2009-05-01,23407032805.0
2009-06-01,25689292771.0
2009-07-01,27679764354.0
2009-08-01,27408190674.0
2009-09-01,29757140363.0
2009-10-01,30396531766.0
2009-11-01,29534690103.0
2009-12-01,32920496650.0
2010-01-01,31535995488.0
2010-02-01,31044126289.0
2010-03-01,35575753750.0
2010-04-01,35522367415.0
2010-05-01,34853569952.0
2010-06-01,35254772716.0
2010-07-01,35421717812.0
2010-08-01,35274964404.0
2010-09-01,35001779867.0
2010-10-01,37001094541.0
2010-11-01,38669304038.0
2010-12-01,40056713978.0
2011-01-01,41981323101.0
2011-02-01,36401587637.0
2011-03-01,45565952139.0
2011-04-01,44188521904.0
2011-05-01,45284932153.0
2011-06-01,44824772026.0
2011-07-01,44296128937.0
2011-08-01,45381680275.0
2011-09-01,45279468844.0
2011-10-01,42709770457.0
2011-11-01,43010481212.0
2011-12-01,45488471169.0
2012-01-01,43517290617.0
2012-02-01,45099984295.0
2012-03-01,45053405629.0
2012-04-01,43957175504.0
2012-05-01,44480338601.0
2012-06-01,41993629221.0
2012-07-01,41976900097.0
2012-08-01,41115675023.0
2012-09-01,42559535172.0
2012-10-01,43379892882.0
2012-11-01,43381536728.0
2012-12-01,43069108906.0
2013-01-01,45296942393.0
2013-02-01,40458471528.0
2013-03-01,43976738918.0
2013-04-01,43648240730.0
2013-05-01,42389874292.0
2013-06-01,40719393779.0
2013-07-01,43384403453.0
2013-08-01,41593821429.0
2013-09-01,41055405226.0
2013-10-01,45604963423.0
2013-11-01,43106074255.0
2013-12-01,44351185613.0
2014-01-01,44746013067.0
2014-02-01,42061553951.0
2014-03-01,45558674670.0
2014-04-01,45873332924.0
2014-05-01,42607482640.0
2014-06-01,42476380665.0
2014-07-01,45863915730.0
2014-08-01,42791869289.0
2014-09-01,44184711623.0
2014-10-01,44097421222.0
2014-11-01,41343254092.0
2014-12-01,43909895859.0
2015-01-01,39283024626.0
2015-02-01,33998316032.0
2015-03-01,38485935068.0
2015-04-01,37858797981.0
2015-05-01,36039799633.0
2015-06-01,36598397721.0
2015-07-01,38647066671.0
2015-08-01,34772163390.0
2015-09-01,34540503816.0
2015-10-01,36762974692.0
2015-11-01,34049681859.0
2015-12-01,35462311136.0
2016-01-01,31321900755.0
2016-02-01,29163323250.0
2016-03-01,33344422648.0
2016-04-01,32388783069.0
2016-05-01,33025444474.0
2016-06-01,33890230717.0
2016-07-01,33371801921.0
2016-08-01,35103610718.0
2016-09-01,33988442821.0
2016-10-01,35050111654.0
2016-11-01,37240857984.0
2016-12-01,38303957084.0
2017-01-01,37645402844.0
2017-02-01,36203282097.0
2017-03-01,42579491534.0
2017-04-01,37959391334.0
