date,value
2016-07-01,8831.8
2016-08-01,5410.1
2016-09-01,7517.5
2016-10-01,7476.8
2016-11-01,7873.3
2016-12-01,7361.5
2017-01-01,3401.7
2017-02-01,7438.6
2017-03-01,5140.3
2017-04-01,3184.0
2017-05-01,4262.1
2017-06-01,7008.9
2017-07-01,7467.4
2017-08-01,6139.4
2017-09-01,12337.7
2017-10-01,6890.0
2017-11-01,7474.3
2017-12-01,4486.5
2018-01-01,2556.9
2018-02-01,3226.7
2018-03-01,5210.4
2018-04-01,1490.4
2018-05-01,8792.3
2018-06-01,7980.1
2018-07-01,8874.4
2018-08-01,8581.2
2018-09-01,11235.5
2018-10-01,9473.6
2018-11-01,5130.6
2018-12-01,4914.4
2019-01-01,2894.7
2019-02-01,3308.2
2019-03-01,4347.0
2019-04-01,-527.4
2019-05-01,4983.2
2019-06-01,6166.1
2019-07-01,6957.2
2019-08-01,4983.5
2019-09-01,8014.3
2019-10-01,8035.8
2019-11-01,5876.6
2019-12-01,4636.9
2020-01-01,434.3
2020-02-01,6753.5
2020-03-01,5906.9
2020-04-01,-4697.5
2020-05-01,2078.1
2020-06-01,6967.5
2020-07-01,7304.6
2020-08-01,6539.2
2020-09-01,10847.1
2020-10-01,12439.9
2020-11-01,9664.9
2020-12-01,12264.9
2021-01-01,5745.1
2021-02-01,6698.6
2021-03-01,7255.4
2021-04-01,-493.4
2021-05-01,11856.8
2021-06-01,9930.8
2021-07-01,7324.3
2021-08-01,6671.5
2021-09-01,9308.2
2021-10-01,7357.7
2021-11-01,6534.6
2021-12-01,5689.5
2022-01-01,1646.4
2022-02-01,5263.3
2022-03-01,7131.1
2022-04-01,-539.6
2022-05-01,4202.3
2022-06-01,5972.9
2022-07-01,1619.8
2022-08-01,-4363.0
2022-09-01,1810.1
2022-10-01,472.9
2022-11-01,-1842.5
2022-12-01,1864.7
2023-01-01,-9056.0
2023-02-01,-1859.9
2023-03-01,-1213.5
2023-04-01,-2891.1
2023-05-01,2023.6
2023-06-01,3923.7
2023-07-01,3715.3
2023-08-01,6232.9
2023-09-01,7548.7
2023-10-01,8417.3
2023-11-01,6721.2
2023-12-01,8968.0
2024-01-01,3511.9
2024-02-01,6802.1
2024-03-01,7826.8
2024-04-01,773.8
2024-05-01,9277.4
2024-06-01,13431.5
2024-07-01,9022.6
2024-08-01,5899.8
2024-09-01,11368.5
2024-10-01,9861.5
2024-11-01,9456.6
2024-12-01,12741.0
2025-01-01,2678.0
2025-02-01,7225.2
2025-03-01,9583.2
2025-04-01,4510.6
2025-05-01,9906.7
2025-06-01,13968.5
2025-07-01,11945.1
2025-08-01,9848.0
2025-09-01,14220.3
2025-10-01,7567.6
2025-11-01,12898.0
2025-12-01,18702.6
2026-01-01,13259.1
2026-02-01,23192.7
2026-03-01,37928.4
2026-04-01,28292.3
2026-05-01,38607.4
