date,value
2016-01-01,0.385
2016-04-01,1.253
2016-07-01,0.387
2016-10-01,0.77
2017-01-01,1.133
2017-04-01,0.726
2017-07-01,1.372
2017-10-01,-0.218
2018-01-01,1.443
2018-04-01,0.789
2018-07-01,0.547
2018-10-01,0.538
2019-01-01,0.033
2019-04-01,1.353
2019-07-01,0.271
2019-10-01,0.955
2020-01-01,-1.367
2020-04-01,-2.642
2020-07-01,2.26
2020-10-01,1.513
2021-01-01,1.594
2021-04-01,1.356
2021-07-01,-0.016
2021-10-01,1.753
2022-01-01,0.467
2022-04-01,0.998
2022-07-01,0.258
2022-10-01,-0.4
2023-01-01,0.222
2023-04-01,0.686
2023-07-01,0.956
2023-10-01,0.731
2024-01-01,1.013
2024-04-01,-0.151
2024-07-01,0.055
2024-10-01,0.236
2025-01-01,-0.172
2025-04-01,0.65
2025-07-01,1.362
2025-10-01,-0.108
2026-01-01,1.831
