date,value
1990-01-01,19.73187
1990-02-01,20.19258
1990-03-01,20.72778
1990-04-01,20.66287
1990-05-01,20.33197
1990-06-01,20.72778
1990-07-01,21.39277
1990-08-01,21.92797
1990-09-01,21.86306
1990-10-01,21.86306
1990-11-01,21.92797
1990-12-01,22.32377
1991-01-01,22.25887
1991-02-01,22.32377
1991-03-01,22.38868
1991-04-01,22.65681
1991-05-01,22.527
1991-06-01,22.45252
1991-07-01,23.11752
1991-08-01,23.98468
1991-09-01,23.78145
1991-10-01,23.98468
1991-11-01,24.123
1991-12-01,24.123
1992-01-01,24.04852
1992-02-01,24.64861
1992-03-01,24.64861
1992-04-01,24.38155
1992-05-01,24.1879
1992-06-01,24.51987
1992-07-01,24.91568
1992-08-01,24.71352
1992-09-01,24.38155
1992-10-01,24.38155
1992-11-01,24.45497
1992-12-01,24.58371
1993-01-01,24.58371
1993-02-01,24.31665
1993-03-01,25.18381
1993-04-01,25.04442
1993-05-01,24.98058
1993-06-01,25.24871
1993-07-01,25.57961
1993-08-01,25.18381
1993-09-01,26.24461
1993-10-01,26.04245
1993-11-01,26.57658
1993-12-01,27.17561
1994-01-01,26.90855
1994-02-01,26.97345
1994-03-01,27.44374
1994-04-01,27.30542
1994-05-01,28.17258
1994-06-01,28.56945
1994-07-01,27.50864
1994-08-01,28.23642
1994-09-01,29.16955
1994-10-01,29.56536
1994-11-01,30.16545
1994-12-01,29.96116
1995-01-01,30.62616
1995-02-01,30.44209
1995-03-01,31.36352
1995-04-01,31.45715
1995-05-01,30.99537
1995-06-01,32.103
1995-07-01,32.103
1995-08-01,32.28707
1995-09-01,32.00937
1995-10-01,32.1945
1995-11-01,32.37963
1995-12-01,33.11699
1996-01-01,33.02442
1996-02-01,33.76283
1996-03-01,33.76283
1996-04-01,34.77789
1996-05-01,34.86939
1996-06-01,33.8554
1996-07-01,34.59275
1996-08-01,34.40868
1996-09-01,34.86939
1996-10-01,34.40868
1996-11-01,34.86939
1996-12-01,35.79295
1997-01-01,33.8554
1997-02-01,35.3301
1997-03-01,35.88445
1997-04-01,36.5303
1997-05-01,36.25366
1997-06-01,37.08358
1997-07-01,36.25366
1997-08-01,37.36128
1997-09-01,37.54535
1997-10-01,36.71544
1997-11-01,36.25366
1997-12-01,35.70038
1998-01-01,33.67027
1998-02-01,33.94691
1998-03-01,32.56371
1998-04-01,32.1945
1998-05-01,32.56371
1998-06-01,32.103
1998-07-01,31.45715
1998-08-01,32.74884
1998-09-01,34.59275
1998-10-01,35.42374
1998-11-01,36.80694
1998-12-01,37.36128
1999-01-01,37.08358
1999-02-01,38.55935
1999-03-01,39.20519
1999-04-01,38.83598
1999-05-01,40.9576
1999-06-01,41.23424
1999-07-01,42.52594
1999-08-01,42.52594
1999-09-01,44.64755
1999-10-01,44.74012
1999-11-01,46.77023
1999-12-01,46.58509
2000-01-01,47.64377
2000-02-01,47.74273
2000-03-01,48.2843
2000-04-01,48.00553
2000-05-01,49.85263
2000-06-01,49.3334
2000-07-01,50.92515
2000-08-01,51.71251
2000-09-01,50.48146
2000-10-01,50.12821
2000-11-01,49.35681
2000-12-01,48.63861
2001-01-01,48.1396
2001-02-01,48.64925
2001-03-01,48.94292
2001-04-01,49.31425
2001-05-01,49.73028
2001-06-01,49.83136
2001-07-01,48.84184
2001-08-01,49.97925
2001-09-01,49.98883
2001-10-01,50.29313
2001-11-01,50.61978
2001-12-01,49.35468
2002-01-01,50.89748
2002-02-01,51.87743
2002-03-01,53.17764
2002-04-01,53.63409
2002-05-01,53.04676
2002-06-01,52.64989
2002-07-01,53.96287
2002-08-01,54.46507
2002-09-01,53.49683
2002-10-01,54.44486
2002-11-01,55.23009
2002-12-01,55.84615
2003-01-01,54.53849
2003-02-01,54.80555
2003-03-01,55.96106
2003-04-01,54.98856
2003-05-01,54.75448
2003-06-01,56.43347
2003-07-01,53.80433
2003-08-01,56.65372
2003-09-01,57.37086
2003-10-01,58.96579
2003-11-01,59.04346
2003-12-01,60.10853
2004-01-01,59.86913
2004-02-01,62.91749
2004-03-01,61.82263
2004-04-01,62.49082
2004-05-01,63.40267
2004-06-01,61.60345
2004-07-01,60.82566
2004-08-01,61.79177
2004-09-01,62.49401
2004-10-01,62.5004
2004-11-01,63.57397
2004-12-01,62.71214
2005-01-01,65.37213
2005-02-01,63.87189
2005-03-01,65.92648
2005-04-01,64.60286
2005-05-01,64.10065
2005-06-01,64.49753
2005-07-01,65.04336
2005-08-01,65.40831
2005-09-01,65.59557
2005-10-01,67.86615
2005-11-01,70.41017
2005-12-01,68.96207
2006-01-01,71.12411
2006-02-01,71.25179
2006-03-01,71.63909
2006-04-01,70.90493
2006-05-01,71.55823
2006-06-01,70.46444
2006-07-01,67.02453
2006-08-01,71.90935
2006-09-01,73.8022
2006-10-01,75.8653
2006-11-01,75.52482
2006-12-01,72.88929
2007-01-01,74.03309
2007-02-01,74.37357
2007-03-01,74.14587
2007-04-01,75.38118
2007-05-01,75.58334
2007-06-01,75.07049
2007-07-01,75.92807
2007-08-01,78.27951
2007-09-01,77.52088
2007-10-01,81.74815
2007-11-01,81.51194
2007-12-01,81.11401
2008-01-01,83.15901
2008-02-01,82.3408
2008-03-01,83.49737
2008-04-01,83.73038
2008-05-01,82.4472
2008-06-01,81.74283
2008-07-01,81.29063
2008-08-01,81.23318
2008-09-01,80.05959
2008-10-01,80.74586
2008-11-01,71.8455
2008-12-01,64.11023
2009-01-01,65.30297
2009-02-01,71.089
2009-03-01,73.78092
2009-04-01,76.25259
2009-05-01,76.82077
2009-06-01,79.76273
2009-07-01,81.80667
2009-08-01,82.31313
2009-09-01,85.8754
2009-10-01,84.3358
2009-11-01,85.34447
2009-12-01,86.37974
2010-01-01,87.94807
2010-02-01,88.59924
2010-03-01,90.43358
2010-04-01,91.61568
2010-05-01,92.16577
2010-06-01,92.45518
2010-07-01,93.15316
2010-08-01,92.35622
2010-09-01,92.86375
2010-10-01,94.19907
2010-11-01,94.32782
2010-12-01,95.8355
2011-01-01,98.78598
2011-02-01,95.79613
2011-03-01,98.1912
