date,value
1980-01-01,-0.9
1981-01-01,0.4
1982-01-01,0.6
1983-01-01,1.6
1984-01-01,2.5
1985-01-01,3.4
1986-01-01,3.9
1987-01-01,3.2
1988-01-01,2.5
1989-01-01,2.0
1990-01-01,1.4
1991-01-01,1.8
1992-01-01,2.8
1993-01-01,2.8
1994-01-01,2.6
1995-01-01,2.0
1996-01-01,1.4
1997-01-01,2.1
1998-01-01,2.8
1999-01-01,2.4
2000-01-01,2.6
2001-01-01,1.9
2002-01-01,2.6
2003-01-01,3.0
2004-01-01,3.7
2005-01-01,3.5
2006-01-01,3.8
2007-01-01,4.6
2008-01-01,2.8
2009-01-01,2.7
2010-01-01,3.8
2011-01-01,2.1
2012-01-01,0.9
2013-01-01,0.9
2014-01-01,0.7
2015-01-01,3.0
2016-01-01,3.9
2017-01-01,4.0
2018-01-01,3.4
2019-01-01,3.4
2020-01-01,2.9
2021-01-01,3.8
2022-01-01,2.0
2023-01-01,3.6
2024-01-01,4.5
2025-01-01,4.8
