date,value
1980-01-01,-10.4
1981-01-01,-8.7
1982-01-01,-7.0
1983-01-01,-4.0
1984-01-01,-1.9
1985-01-01,-2.1
1986-01-01,2.2
1987-01-01,5.7
1988-01-01,6.2
1989-01-01,1.5
1990-01-01,-1.0
1991-01-01,-2.4
1992-01-01,-0.8
1993-01-01,0.4
1994-01-01,-1.0
1995-01-01,-1.7
1996-01-01,-3.9
1997-01-01,-1.8
1998-01-01,10.1
1999-01-01,4.2
2000-01-01,1.7
2001-01-01,0.4
2002-01-01,0.6
2003-01-01,1.6
2004-01-01,3.6
2005-01-01,1.3
2006-01-01,0.2
2007-01-01,0.9
2008-01-01,0.2
2009-01-01,3.4
2010-01-01,2.3
2011-01-01,1.3
2012-01-01,3.7
2013-01-01,5.4
2014-01-01,5.3
2015-01-01,6.8
2016-01-01,6.2
2017-01-01,4.4
2018-01-01,4.2
2019-01-01,3.4
2020-01-01,4.4
2021-01-01,4.3
2022-01-01,1.3
2023-01-01,1.8
2024-01-01,5.3
2025-01-01,6.6
