date,value
1980-01-01,0.1
1981-01-01,0.2
1982-01-01,-0.2
1983-01-01,-1.1
1984-01-01,-2.3
1985-01-01,-2.7
1986-01-01,-3.2
1987-01-01,-3.3
1988-01-01,-2.3
1989-01-01,-1.8
1990-01-01,-1.3
1991-01-01,0.0
1992-01-01,-0.8
1993-01-01,-1.2
1994-01-01,-1.7
1995-01-01,-1.5
1996-01-01,-1.5
1997-01-01,-1.6
1998-01-01,-2.4
1999-01-01,-3.0
2000-01-01,-3.9
2001-01-01,-3.7
2002-01-01,-4.2
2003-01-01,-4.6
2004-01-01,-5.2
2005-01-01,-5.7
2006-01-01,-5.9
2007-01-01,-5.1
2008-01-01,-4.7
2009-01-01,-2.6
2010-01-01,-2.9
2011-01-01,-2.9
2012-01-01,-2.6
2013-01-01,-2.0
2014-01-01,-2.1
2015-01-01,-2.2
2016-01-01,-2.1
2017-01-01,-1.9
2018-01-01,-2.1
2019-01-01,-2.1
2020-01-01,-2.8
2021-01-01,-3.6
2022-01-01,-3.8
2023-01-01,-3.3
2024-01-01,-4.0
2025-01-01,-3.6
