date,value
1980-01-01,7.9
1981-01-01,5.1
1982-01-01,9.0
1983-01-01,10.8
1984-01-01,15.2
1985-01-01,13.5
1986-01-01,8.9
1987-01-01,11.7
1988-01-01,11.2
1989-01-01,4.2
1990-01-01,3.9
1991-01-01,10.2
1992-01-01,14.3
1993-01-01,13.9
1994-01-01,13.1
1995-01-01,11.0
1996-01-01,10.0
1997-01-01,9.3
1998-01-01,7.9
1999-01-01,7.8
2000-01-01,8.6
2001-01-01,8.3
2002-01-01,9.2
2003-01-01,10.1
2004-01-01,10.1
2005-01-01,11.4
2006-01-01,12.7
2007-01-01,14.2
2008-01-01,9.6
2009-01-01,9.4
2010-01-01,10.6
2011-01-01,9.5
2012-01-01,7.8
2013-01-01,7.8
2014-01-01,7.5
2015-01-01,7.0
2016-01-01,6.8
2017-01-01,6.9
2018-01-01,6.8
2019-01-01,6.1
2020-01-01,2.3
2021-01-01,8.6
2022-01-01,3.1
2023-01-01,5.4
2024-01-01,5.0
2025-01-01,5.0
