date,value
1980-01-01,3.2
1981-01-01,4.3
1982-01-01,3.3
1983-01-01,3.6
1984-01-01,4.4
1985-01-01,5.2
1986-01-01,3.3
1987-01-01,4.6
1988-01-01,6.7
1989-01-01,4.9
1990-01-01,4.8
1991-01-01,3.5
1992-01-01,0.9
1993-01-01,-0.5
1994-01-01,0.9
1995-01-01,2.3
1996-01-01,3.1
1997-01-01,1.4
1998-01-01,-1.8
1999-01-01,-0.3
2000-01-01,3.0
2001-01-01,0.3
2002-01-01,0.1
2003-01-01,1.4
2004-01-01,2.1
2005-01-01,1.8
2006-01-01,1.5
2007-01-01,1.7
2008-01-01,-1.2
2009-01-01,-5.9
2010-01-01,4.1
2011-01-01,-0.2
2012-01-01,1.6
2013-01-01,2.0
2014-01-01,0.9
2015-01-01,1.8
2016-01-01,0.7
2017-01-01,1.6
2018-01-01,0.8
2019-01-01,-0.3
2020-01-01,-4.3
2021-01-01,3.6
2022-01-01,1.3
2023-01-01,0.7
2024-01-01,-0.2
2025-01-01,1.2
