date,value
1980-01-01,-1.5
1981-01-01,7.4
1982-01-01,8.5
1983-01-01,13.5
1984-01-01,10.6
1985-01-01,7.9
1986-01-01,11.5
1987-01-01,12.9
1988-01-01,12.1
1989-01-01,7.2
1990-01-01,10.0
1991-01-01,10.9
1992-01-01,6.4
1993-01-01,7.0
1994-01-01,9.4
1995-01-01,9.7
1996-01-01,8.0
1997-01-01,6.3
1998-01-01,-4.9
1999-01-01,11.6
2000-01-01,9.2
2001-01-01,4.7
2002-01-01,7.7
2003-01-01,3.1
2004-01-01,5.2
2005-01-01,4.4
2006-01-01,5.2
2007-01-01,5.8
2008-01-01,3.0
2009-01-01,0.8
2010-01-01,7.0
2011-01-01,3.7
2012-01-01,2.5
2013-01-01,3.3
2014-01-01,3.2
2015-01-01,2.9
2016-01-01,3.2
2017-01-01,3.4
2018-01-01,3.2
2019-01-01,2.3
2020-01-01,-0.7
2021-01-01,4.6
2022-01-01,2.7
2023-01-01,1.6
2024-01-01,2.0
2025-01-01,1.0
