date,value
1995-01-01,21.4
1996-01-01,21.2
1997-01-01,20.4
1998-01-01,20.4
1999-01-01,21.6
2000-01-01,22.7
2001-01-01,24.3
2002-01-01,25.6
2003-01-01,26.4
2004-01-01,26.0
2005-01-01,25.9
2006-01-01,25.2
2007-01-01,28.7
2008-01-01,26.7
2009-01-01,34.0
2010-01-01,33.3
2011-01-01,33.2
2012-01-01,33.8
2013-01-01,36.4
2014-01-01,39.3
2015-01-01,40.8
2016-01-01,50.0
2017-01-01,53.9
2018-01-01,55.9
2019-01-01,59.8
2020-01-01,70.1
2021-01-01,72.1
2022-01-01,77.3
2023-01-01,84.1
2024-01-01,90.4
2025-01-01,99.2
