date,value
1980-01-01,41.4
1981-01-01,45.8
1982-01-01,50.1
1983-01-01,55.1
1984-01-01,56.9
1985-01-01,59.2
1986-01-01,64.2
1987-01-01,65.7
1988-01-01,62.4
1989-01-01,56.9
1990-01-01,54.8
1991-01-01,54.1
1992-01-01,57.9
1993-01-01,63.2
1994-01-01,73.3
1995-01-01,80.7
1996-01-01,85.3
1997-01-01,91.3
1998-01-01,101.6
1999-01-01,113.5
2000-01-01,118.5
2001-01-01,126.8
2002-01-01,134.6
2003-01-01,140.2
2004-01-01,148.8
2005-01-01,153.4
2006-01-01,152.1
2007-01-01,150.4
2008-01-01,153.6
2009-01-01,172.9
2010-01-01,178.6
2011-01-01,190.6
2012-01-01,197.1
2013-01-01,201.2
2014-01-01,203.6
2015-01-01,200.1
2016-01-01,202.1
2017-01-01,203.1
2018-01-01,203.7
2019-01-01,206.3
2020-01-01,228.8
2021-01-01,222.7
2022-01-01,227.8
2023-01-01,220.3
2024-01-01,214.5
2025-01-01,206.5
