date,value
1990-01-01,12.8
1991-01-01,11.9
1992-01-01,11.6
1993-01-01,10.9
1994-01-01,9.6
1995-01-01,8.5
1996-01-01,7.8
1997-01-01,9.7
1998-01-01,13.8
1999-01-01,15.8
2000-01-01,16.1
2001-01-01,16.6
2002-01-01,16.4
2003-01-01,19.1
2004-01-01,21.6
2005-01-01,24.9
2006-01-01,27.0
2007-01-01,26.3
2008-01-01,25.9
2009-01-01,28.8
2010-01-01,28.3
2011-01-01,31.7
2012-01-01,33.5
2013-01-01,36.0
2014-01-01,37.9
2015-01-01,38.8
2016-01-01,39.1
2017-01-01,38.0
2018-01-01,37.9
2019-01-01,39.7
2020-01-01,45.9
2021-01-01,48.0
2022-01-01,49.8
2023-01-01,50.5
2024-01-01,49.7
2025-01-01,52.3
