date,value
1981-01-01,2.5
1982-01-01,2.0
1983-01-01,2.0
1984-01-01,2.7
1985-01-01,9.3
1986-01-01,6.5
1987-01-01,7.3
1988-01-01,18.8
1989-01-01,18.0
1990-01-01,3.3
1991-01-01,3.6
1992-01-01,6.4
1993-01-01,14.6
1994-01-01,24.3
1995-01-01,16.8
1996-01-01,8.3
1997-01-01,2.8
1998-01-01,-0.8
1999-01-01,-1.4
2000-01-01,0.4
2001-01-01,0.7
2002-01-01,-0.8
2003-01-01,1.2
2004-01-01,3.9
2005-01-01,1.8
2006-01-01,1.5
2007-01-01,4.8
2008-01-01,5.8
2009-01-01,-0.7
2010-01-01,3.3
2011-01-01,5.4
2012-01-01,2.6
2013-01-01,2.6
2014-01-01,2.0
2015-01-01,1.4
2016-01-01,2.0
2017-01-01,1.6
2018-01-01,2.1
2019-01-01,2.9
2020-01-01,2.5
2021-01-01,0.9
2022-01-01,2.0
2023-01-01,0.2
2024-01-01,0.2
2025-01-01,0.0
