date,value
1980-01-01,7.8
1981-01-01,4.9
1982-01-01,2.7
1983-01-01,1.9
1984-01-01,2.3
1985-01-01,2.0
1986-01-01,0.6
1987-01-01,0.1
1988-01-01,0.7
1989-01-01,2.3
1990-01-01,3.1
1991-01-01,3.3
1992-01-01,1.7
1993-01-01,1.3
1994-01-01,0.7
1995-01-01,-0.1
1996-01-01,0.1
1997-01-01,1.7
1998-01-01,0.7
1999-01-01,-0.3
2000-01-01,-0.7
2001-01-01,-0.7
2002-01-01,-0.9
2003-01-01,-0.3
2004-01-01,0.0
2005-01-01,-0.3
2006-01-01,0.3
2007-01-01,0.0
2008-01-01,1.4
2009-01-01,-1.3
2010-01-01,-0.7
2011-01-01,-0.3
2012-01-01,0.0
2013-01-01,0.3
2014-01-01,2.8
2015-01-01,0.8
2016-01-01,-0.1
2017-01-01,0.5
2018-01-01,1.0
2019-01-01,0.5
2020-01-01,0.0
2021-01-01,-0.2
2022-01-01,2.5
2023-01-01,3.3
2024-01-01,2.7
2025-01-01,3.2
