date,value
1980-01-01,28.7
1981-01-01,21.4
1982-01-01,7.2
1983-01-01,3.4
1984-01-01,2.3
1985-01-01,2.5
1986-01-01,2.8
1987-01-01,3.0
1988-01-01,7.1
1989-01-01,5.7
1990-01-01,8.6
1991-01-01,9.3
1992-01-01,6.2
1993-01-01,4.8
1994-01-01,6.3
1995-01-01,4.5
1996-01-01,4.9
1997-01-01,4.4
1998-01-01,7.5
1999-01-01,0.8
2000-01-01,2.3
2001-01-01,4.1
2002-01-01,2.8
2003-01-01,3.5
2004-01-01,3.6
2005-01-01,2.8
2006-01-01,2.2
2007-01-01,2.5
2008-01-01,4.7
2009-01-01,2.8
2010-01-01,2.9
2011-01-01,4.0
2012-01-01,2.2
2013-01-01,1.3
2014-01-01,1.3
2015-01-01,0.7
2016-01-01,1.0
2017-01-01,1.9
2018-01-01,1.5
2019-01-01,0.4
2020-01-01,0.5
2021-01-01,2.5
2022-01-01,5.1
2023-01-01,3.6
2024-01-01,2.3
2025-01-01,2.1
