date,value
1980-01-01,13.5
1981-01-01,10.4
1982-01-01,6.2
1983-01-01,3.2
1984-01-01,4.4
1985-01-01,3.5
1986-01-01,1.9
1987-01-01,3.6
1988-01-01,4.1
1989-01-01,4.8
1990-01-01,5.4
1991-01-01,4.2
1992-01-01,3.0
1993-01-01,3.0
1994-01-01,2.6
1995-01-01,2.8
1996-01-01,2.9
1997-01-01,2.3
1998-01-01,1.5
1999-01-01,2.2
2000-01-01,3.4
2001-01-01,2.8
2002-01-01,1.6
2003-01-01,2.3
2004-01-01,2.7
2005-01-01,3.4
2006-01-01,3.2
2007-01-01,2.9
2008-01-01,3.8
2009-01-01,-0.3
2010-01-01,1.6
2011-01-01,3.1
2012-01-01,2.1
2013-01-01,1.5
2014-01-01,1.6
2015-01-01,0.1
2016-01-01,1.3
2017-01-01,2.1
2018-01-01,2.4
2019-01-01,1.8
2020-01-01,1.3
2021-01-01,4.7
2022-01-01,8.0
2023-01-01,4.1
2024-01-01,3.0
2025-01-01,2.7
