date,value
1980-01-01,2.0
1981-01-01,2.2
1982-01-01,2.4
1983-01-01,2.7
1984-01-01,2.7
1985-01-01,2.6
1986-01-01,2.8
1987-01-01,2.9
1988-01-01,2.5
1989-01-01,2.3
1990-01-01,2.1
1991-01-01,2.1
1992-01-01,2.2
1993-01-01,2.5
1994-01-01,2.9
1995-01-01,3.2
1996-01-01,3.4
1997-01-01,3.4
1998-01-01,4.1
1999-01-01,4.7
2000-01-01,4.7
2001-01-01,5.0
2002-01-01,5.4
2003-01-01,5.2
2004-01-01,4.7
2005-01-01,4.4
2006-01-01,4.1
2007-01-01,3.8
2008-01-01,4.0
2009-01-01,5.1
2010-01-01,5.1
2011-01-01,4.6
2012-01-01,4.3
2013-01-01,4.0
2014-01-01,3.6
2015-01-01,3.4
2016-01-01,3.1
2017-01-01,2.8
2018-01-01,2.4
2019-01-01,2.4
2020-01-01,2.8
2021-01-01,2.8
2022-01-01,2.6
2023-01-01,2.6
2024-01-01,2.5
2025-01-01,2.5
