date,value
1980-01-01,5.2
1981-01-01,4.5
1982-01-01,4.1
1983-01-01,4.1
1984-01-01,3.9
1985-01-01,4.0
1986-01-01,3.8
1987-01-01,3.1
1988-01-01,2.5
1989-01-01,2.6
1990-01-01,2.5
1991-01-01,2.5
1992-01-01,2.5
1993-01-01,2.9
1994-01-01,2.5
1995-01-01,2.1
1996-01-01,2.1
1997-01-01,2.6
1998-01-01,7.0
1999-01-01,6.6
2000-01-01,4.4
2001-01-01,4.0
2002-01-01,3.3
2003-01-01,3.6
2004-01-01,3.7
2005-01-01,3.8
2006-01-01,3.5
2007-01-01,3.3
2008-01-01,3.2
2009-01-01,3.6
2010-01-01,3.7
2011-01-01,3.4
2012-01-01,3.2
2013-01-01,3.1
2014-01-01,3.5
2015-01-01,3.6
2016-01-01,3.7
2017-01-01,3.7
2018-01-01,3.8
2019-01-01,3.8
2020-01-01,4.0
2021-01-01,3.7
2022-01-01,2.9
2023-01-01,2.7
2024-01-01,2.8
2025-01-01,2.8
