date,value
1980-01-01,7.2
1981-01-01,7.6
1982-01-01,9.7
1983-01-01,9.6
1984-01-01,7.5
1985-01-01,7.2
1986-01-01,7.0
1987-01-01,6.2
1988-01-01,5.5
1989-01-01,5.3
1990-01-01,5.6
1991-01-01,6.9
1992-01-01,7.5
1993-01-01,6.9
1994-01-01,6.1
1995-01-01,5.6
1996-01-01,5.4
1997-01-01,4.9
1998-01-01,4.5
1999-01-01,4.2
2000-01-01,4.0
2001-01-01,4.7
2002-01-01,5.8
2003-01-01,6.0
2004-01-01,5.5
2005-01-01,5.1
2006-01-01,4.6
2007-01-01,4.6
2008-01-01,5.8
2009-01-01,9.3
2010-01-01,9.6
2011-01-01,8.9
2012-01-01,8.1
2013-01-01,7.4
2014-01-01,6.2
2015-01-01,5.3
2016-01-01,4.9
2017-01-01,4.4
2018-01-01,3.9
2019-01-01,3.7
2020-01-01,8.1
2021-01-01,5.4
2022-01-01,3.7
2023-01-01,3.6
2024-01-01,4.0
2025-01-01,4.3
