date,value
2016-09-01,92.763
2016-10-01,98.12
2016-11-01,102.35
2016-12-01,104.699
2017-01-01,94.737
2017-02-01,92.857
2017-03-01,104.323
2017-04-01,97.838
2017-05-01,98.496
2017-06-01,99.154
2017-07-01,98.59
2017-08-01,95.207
2017-09-01,102.82
2017-10-01,93.797
2017-11-01,102.82
2017-12-01,100.94
2018-01-01,99.812
2018-02-01,87.782
2018-03-01,101.88
2018-04-01,100.0
2018-05-01,100.94
2018-06-01,101.222
2018-07-01,101.88
2018-08-01,99.154
2018-09-01,96.147
2018-10-01,105.733
2018-11-01,103.102
2018-12-01,101.598
2019-01-01,99.342
2019-02-01,84.305
2019-03-01,99.812
2019-04-01,100.752
2019-05-01,102.068
2019-06-01,99.342
2019-07-01,103.947
2019-08-01,97.086
2019-09-01,98.214
2019-10-01,105.357
2019-11-01,104.793
2019-12-01,108.177
2020-01-01,94.9
2020-02-01,92.5
2020-03-01,105.8
2020-04-01,95.4
2020-05-01,91.5
2020-06-01,98.8
2020-07-01,100.6
2020-08-01,94.3
2020-09-01,106.2
2020-10-01,102.4
2020-11-01,105.8
2020-12-01,111.9
2021-01-01,104.5
2021-02-01,96.0
2021-03-01,112.2
2021-04-01,106.7
2021-05-01,104.5
2021-06-01,110.6
2021-07-01,110.5
2021-08-01,105.1
2021-09-01,106.3
2021-10-01,109.1
2021-11-01,113.7
2021-12-01,122.5
2022-01-01,110.7
2022-02-01,102.9
2022-03-01,118.2
2022-04-01,112.4
2022-05-01,113.8
2022-06-01,113.7
2022-07-01,111.1
2022-08-01,104.5
2022-09-01,104.7
2022-10-01,105.8
2022-11-01,107.6
2022-12-01,109.6
2023-01-01,96.9
2023-02-01,96.3
2023-03-01,111.4
2023-04-01,103.1
2023-05-01,107.6
2023-06-01,108.8
2023-07-01,103.6
2023-08-01,105.8
2023-09-01,109.4
2023-10-01,108.1
2023-11-01,114.3
2023-12-01,116.4
2024-01-01,108.9
2024-02-01,99.5
2024-03-01,111.8
2024-04-01,110.6
2024-05-01,112.7
2024-06-01,112.1
2024-07-01,108.7
2024-08-01,110.2
2024-09-01,107.8
2024-10-01,115.3
2024-11-01,114.2
2024-12-01,122.0
2025-01-01,104.9
2025-02-01,106.4
2025-03-01,118.1
2025-04-01,116.1
2025-05-01,113.5
2025-06-01,116.3
2025-07-01,116.2
2025-08-01,112.6
2025-09-01,123.3
2025-10-01,106.5
2025-11-01,114.2
2025-12-01,124.0
2026-01-01,112.0
2026-02-01,103.9
2026-03-01,122.6
2026-04-01,117.6
2026-05-01,112.2
2026-06-01,123.3
2026-07-01,120.4
