date,value
2020-01-01,46292231.0
2020-02-01,40394907.0
2020-03-01,43049781.0
2020-04-01,43474310.0
2020-05-01,47323916.0
2020-06-01,46610873.0
2020-07-01,44613073.0
2020-08-01,45251651.0
2020-09-01,48785050.0
2020-10-01,46589052.0
2020-11-01,47437579.0
2020-12-01,48104072.0
2021-01-01,45814922.0
2021-02-01,44007398.0
2021-03-01,48651866.0
2021-04-01,48570295.0
2021-05-01,50050353.0
2021-06-01,48664608.0
2021-07-01,49310279.0
2021-08-01,48397208.0
2021-09-01,51841744.0
2021-10-01,51789583.0
2021-11-01,51776800.0
2021-12-01,53503124.0
2022-01-01,50528098.0
2022-02-01,45581218.0
2022-03-01,52237531.0
2022-04-01,51665871.0
2022-05-01,53896462.0
2022-06-01,51766835.0
2022-07-01,52148997.0
2022-08-01,52505801.0
2022-09-01,53641202.0
2022-10-01,53988534.0
2022-11-01,53353877.0
2022-12-01,54237422.0
2023-01-01,51806506.0
2023-02-01,48625429.0
2023-03-01,54082837.0
2023-04-01,52509301.0
2023-05-01,54970668.0
2023-06-01,53155035.0
2023-07-01,51675191.0
2023-08-01,52316197.0
2023-09-01,55083929.0
2023-10-01,54904362.0
2023-11-01,55800394.0
2023-12-01,56028385.0
2024-01-01,52271327.0
2024-02-01,50144501.0
2024-03-01,54167072.0
2024-04-01,52739498.0
2024-05-01,54843752.0
2024-06-01,52607453.0
2024-07-01,52555663.0
2024-08-01,52357203.0
2024-09-01,54577376.0
2024-10-01,54386792.0
2024-11-01,55014849.0
2024-12-01,55859022.0
2025-01-01,53164804.0
2025-02-01,49774993.0
2025-03-01,55082021.0
2025-04-01,53362431.0
2025-05-01,55145292.0
2025-06-01,53354043.0
2025-07-01,54769150.0
2025-08-01,53084992.0
2025-09-01,56873548.0
2025-10-01,55971486.0
2025-11-01,56693120.0
2025-12-01,57790650.0
2026-01-01,54326819.0
2026-02-01,52524131.0
2026-03-01,59170243.0
2026-04-01,55752327.0
2026-05-01,58051655.0
2026-06-01,57661722.0
2026-07-01,56185164.0
