date,value
2016-09-01,68.869
2016-10-01,74.319
2016-11-01,74.728
2016-12-01,73.433
2017-01-01,86.172
2017-02-01,82.289
2017-03-01,72.82
2017-04-01,80.45
2017-05-01,94.55
2017-06-01,75.068
2017-07-01,84.946
2017-08-01,82.834
2017-09-01,71.049
2017-10-01,84.877
2017-11-01,83.856
2017-12-01,100.817
2018-01-01,103.747
2018-02-01,105.313
2018-03-01,112.193
2018-04-01,109.264
2018-05-01,103.883
2018-06-01,101.294
2018-07-01,105.858
2018-08-01,93.801
2018-09-01,76.975
2018-10-01,84.809
2018-11-01,90.599
2018-12-01,103.474
2019-01-01,97.139
2019-02-01,104.7
2019-03-01,83.515
2019-04-01,98.365
2019-05-01,101.022
2019-06-01,89.986
2019-07-01,115.872
2019-08-01,104.632
2019-09-01,80.995
2019-10-01,88.692
2019-11-01,99.728
2019-12-01,95.163
2020-01-01,100.4
2020-02-01,103.9
2020-03-01,86.5
2020-04-01,84.0
2020-05-01,98.6
2020-06-01,95.7
2020-07-01,118.1
2020-08-01,114.7
2020-09-01,93.6
2020-10-01,98.1
2020-11-01,99.9
2020-12-01,106.3
2021-01-01,113.5
2021-02-01,114.7
2021-03-01,105.5
2021-04-01,98.3
2021-05-01,94.7
2021-06-01,76.2
2021-07-01,96.9
2021-08-01,104.7
2021-09-01,98.2
2021-10-01,126.8
2021-11-01,122.3
2021-12-01,125.5
2022-01-01,137.4
2022-02-01,145.5
2022-03-01,113.4
2022-04-01,118.9
2022-05-01,121.9
2022-06-01,117.5
2022-07-01,150.2
2022-08-01,144.5
2022-09-01,122.1
2022-10-01,135.7
2022-11-01,143.7
2022-12-01,145.7
2023-01-01,195.5
2023-02-01,198.7
2023-03-01,170.4
2023-04-01,217.8
2023-05-01,225.7
2023-06-01,182.8
2023-07-01,222.8
2023-08-01,249.0
2023-09-01,195.8
2023-10-01,189.5
2023-11-01,192.0
2023-12-01,156.6
2024-01-01,146.5
2024-02-01,145.1
2024-03-01,128.6
2024-04-01,139.9
2024-05-01,146.4
2024-06-01,123.4
2024-07-01,156.8
2024-08-01,157.0
2024-09-01,109.4
2024-10-01,158.0
2024-11-01,164.4
2024-12-01,122.8
2025-01-01,143.6
2025-02-01,132.1
2025-03-01,102.6
2025-04-01,112.2
2025-05-01,103.0
2025-06-01,86.2
2025-07-01,96.8
2025-08-01,92.1
2025-09-01,80.4
2025-10-01,89.7
2025-11-01,85.7
2025-12-01,80.4
2026-01-01,94.9
2026-02-01,121.9
2026-03-01,84.8
2026-04-01,96.8
2026-05-01,95.5
2026-06-01,88.7
2026-07-01,106.5
