date,value
2016-09-01,65.103
2016-10-01,62.177
2016-11-01,60.112
2016-12-01,62.565
2017-01-01,56.368
2017-02-01,52.582
2017-03-01,59.639
2017-04-01,52.367
2017-05-01,56.325
2017-06-01,61.919
2017-07-01,54.948
2017-08-01,63.511
2017-09-01,65.404
2017-10-01,62.651
2017-11-01,66.997
2017-12-01,56.239
2018-01-01,59.337
2018-02-01,56.928
2018-03-01,71.127
2018-04-01,61.188
2018-05-01,66.394
2018-06-01,79.948
2018-07-01,65.448
2018-08-01,78.141
2018-09-01,85.499
2018-10-01,84.423
2018-11-01,71.041
2018-12-01,61.747
2019-01-01,52.065
2019-02-01,56.583
2019-03-01,77.324
2019-04-01,60.327
2019-05-01,73.752
2019-06-01,86.532
2019-07-01,77.065
2019-08-01,90.448
2019-09-01,99.871
2019-10-01,88.511
2019-11-01,86.747
2019-12-01,91.05
2020-01-01,84.0
2020-02-01,87.1
2020-03-01,108.1
2020-04-01,85.0
2020-05-01,93.9
2020-06-01,105.6
2020-07-01,87.2
2020-08-01,99.5
2020-09-01,122.5
2020-10-01,103.0
2020-11-01,106.2
2020-12-01,117.7
2021-01-01,102.7
2021-02-01,104.7
2021-03-01,124.0
2021-04-01,105.9
2021-05-01,119.3
2021-06-01,132.0
2021-07-01,117.9
2021-08-01,130.9
2021-09-01,141.7
2021-10-01,115.9
2021-11-01,136.9
2021-12-01,140.9
2022-01-01,115.9
2022-02-01,122.9
2022-03-01,155.3
2022-04-01,126.8
2022-05-01,135.6
2022-06-01,145.1
2022-07-01,98.1
2022-08-01,110.8
2022-09-01,154.5
2022-10-01,129.8
2022-11-01,102.6
2022-12-01,117.6
2023-01-01,74.6
2023-02-01,84.6
2023-03-01,152.9
2023-04-01,99.4
2023-05-01,122.5
2023-06-01,182.4
2023-07-01,108.5
2023-08-01,134.4
2023-09-01,200.8
2023-10-01,130.6
2023-11-01,148.5
2023-12-01,210.9
2024-01-01,120.6
2024-02-01,132.4
2024-03-01,173.1
2024-04-01,117.4
2024-05-01,146.5
2024-06-01,192.5
2024-07-01,126.3
2024-08-01,154.6
2024-09-01,201.9
2024-10-01,140.3
2024-11-01,160.6
2024-12-01,223.7
2025-01-01,130.8
2025-02-01,147.8
2025-03-01,207.9
2025-04-01,140.6
2025-05-01,182.6
2025-06-01,212.0
2025-07-01,164.7
2025-08-01,190.1
2025-09-01,232.6
2025-10-01,148.2
2025-11-01,183.3
2025-12-01,200.6
2026-01-01,134.8
2026-02-01,192.6
2026-03-01,224.1
2026-04-01,169.9
2026-05-01,176.1
2026-06-01,218.5
2026-07-01,159.1
