date,value
2016-09-01,10163273.028260613
2016-10-01,10328310.873742912
2016-11-01,10523060.598915352
2016-12-01,10501878.686429888
2017-01-01,10714146.32503278
2017-02-01,10490545.307552963
2017-03-01,10245123.418529188
2017-04-01,10214674.63923036
2017-05-01,10510668.864813942
2017-06-01,10599093.500286045
2017-07-01,10523432.802386316
2017-08-01,10392804.21744974
2017-09-01,10337939.579891434
2017-10-01,10369510.664993728
2017-11-01,10328554.417156938
2017-12-01,10541096.811219592
2018-01-01,10308349.073208634
2018-02-01,10091958.69422222
2018-03-01,9744838.488295048
2018-04-01,9724428.441997012
2018-05-01,9780473.372781064
2018-06-01,9678209.953994146
2018-07-01,9724800.348410022
2018-08-01,9749517.21339227
2018-09-01,10055263.521431684
2018-10-01,9772377.911789052
2018-11-01,9761220.472440943
2018-12-01,9927327.327327328
2019-01-01,9734393.404004712
2019-02-01,9348596.380619138
2019-03-01,9335121.779032828
2019-04-01,8885180.266869025
2019-05-01,9338418.887678588
2019-06-01,9334995.468884192
2019-07-01,9729335.012562515
2019-08-01,9737035.780199032
2019-09-01,9738752.327307863
2019-10-01,9743689.503531048
2019-11-01,10137142.048403077
2019-12-01,10513144.876325088
2020-01-01,10640013.272176957
2020-02-01,10507576.52038581
2020-03-01,10110672.42199238
2020-04-01,10417827.799662352
2020-05-01,10604756.68076036
2020-06-01,11054804.08371858
2020-07-01,12354413.534108726
2020-08-01,12122276.8564047
2020-09-01,12939395.971303556
2020-10-01,12618759.63240218
2020-11-01,12863928.719510626
2020-12-01,13256340.852130326
2021-01-01,12710102.84613122
2021-02-01,13423854.345190829
2021-03-01,12811109.316970771
2021-04-01,13040488.54532053
2021-05-01,13328269.41344003
2021-06-01,14780609.483468644
2021-07-01,15184120.734908136
2021-08-01,14832984.223109478
2021-09-01,15559817.845922124
2021-10-01,15426692.686237909
2021-11-01,15165822.393755302
2021-12-01,14393339.60931984
2022-01-01,14025786.682380673
2022-02-01,13910040.073982738
2022-03-01,13514596.320013609
2022-04-01,14288406.548109764
2022-05-01,14095860.335968588
2022-06-01,14334689.793195464
2022-07-01,14373485.638460549
2022-08-01,13814322.032036878
2022-09-01,13994626.041416388
2022-10-01,14155818.639798488
2022-11-01,13613719.26108954
2022-12-01,13230816.90927549
2023-01-01,12869106.24785693
2023-02-01,12717060.973264089
2023-03-01,12299625.316440556
2023-04-01,12703993.316624897
2023-05-01,12574894.336432798
2023-06-01,12574894.336432798
2023-07-01,12846373.056994818
2023-08-01,12763387.258172115
2023-09-01,13613719.26108954
2023-10-01,13618527.120025417
2023-11-01,13557250.656167978
2023-12-01,13873594.090985397
2024-01-01,14393085.558398902
2024-02-01,13787954.621287957
2024-03-01,13568776.49334948
2024-04-01,13666723.868954755
2024-05-01,13835851.528860986
2024-06-01,14054065.385054776
2024-07-01,14329909.969989996
2024-08-01,14408259.9786798
2024-09-01,14209308.471684162
2024-10-01,14095558.450787634
2024-11-01,14004000.854994604
2024-12-01,14030912.885084713
2025-01-01,14311207.25429755
2025-02-01,13619167.938938554
2025-03-01,13945954.63296225
2025-04-01,13889915.966386557
2025-05-01,13938841.25386824
2025-06-01,14394051.047333945
2025-07-01,13645026.66674344
2025-08-01,14078324.505682204
2025-09-01,14323223.570190642
2025-10-01,14713017.964609535
2025-11-01,15216901.16380059
2025-12-01,15538105.054836316
2026-01-01,15525851.450389951
2026-02-01,14782505.345431997
2026-03-01,14859285.545303997
2026-04-01,14985494.106980965
2026-05-01,15270214.241801484
2026-06-01,15614637.42000337
2026-07-01,15551295.14130422
2026-08-01,15961857.092324018
