date,value
2016-09-01,351.0
2016-10-01,493.0
2016-11-01,457.0
2016-12-01,450.0
2017-01-01,362.0
2017-02-01,486.0
2017-03-01,425.0
2017-04-01,371.0
2017-05-01,383.0
2017-06-01,438.0
2017-07-01,431.0
2017-08-01,376.0
2017-09-01,377.0
2017-10-01,325.0
2017-11-01,311.0
2017-12-01,360.0
2018-01-01,434.0
2018-02-01,416.0
2018-03-01,588.0
2018-04-01,359.0
2018-05-01,428.0
2018-06-01,429.0
2018-07-01,522.0
2018-08-01,502.0
2018-09-01,580.0
2018-10-01,643.0
2018-11-01,479.0
2018-12-01,517.0
2019-01-01,640.0
2019-02-01,572.0
2019-03-01,578.0
2019-04-01,604.0
2019-05-01,662.0
2019-06-01,738.0
2019-07-01,660.0
2019-08-01,562.0
2019-09-01,507.0
2019-10-01,634.0
2019-11-01,607.0
2019-12-01,626.0
2020-01-01,572.0
2020-02-01,688.0
2020-03-01,578.0
2020-04-01,483.0
2020-05-01,552.0
2020-06-01,706.0
2020-07-01,482.0
2020-08-01,567.0
2020-09-01,380.0
2020-10-01,540.0
2020-11-01,516.0
2020-12-01,568.0
2021-01-01,518.0
2021-02-01,532.0
2021-03-01,557.0
2021-04-01,504.0
2021-05-01,697.0
2021-06-01,671.0
2021-07-01,327.0
2021-08-01,685.0
2021-09-01,673.0
2021-10-01,675.0
2021-11-01,646.0
2021-12-01,669.0
2022-01-01,663.0
2022-02-01,665.0
2022-03-01,585.0
2022-04-01,621.0
2022-05-01,624.0
2022-06-01,583.0
2022-07-01,554.0
2022-08-01,542.0
2022-09-01,512.0
2022-10-01,571.0
2022-11-01,521.0
2022-12-01,614.0
2023-01-01,594.0
2023-02-01,638.0
2023-03-01,634.0
2023-04-01,665.0
2023-05-01,665.0
2023-06-01,619.0
2023-07-01,661.0
2023-08-01,655.0
2023-09-01,621.0
2023-10-01,616.0
2023-11-01,600.0
2023-12-01,591.0
2024-01-01,652.0
2024-02-01,633.0
2024-03-01,678.0
2024-04-01,591.0
2024-05-01,632.0
2024-06-01,666.0
2024-07-01,627.0
2024-08-01,584.0
2024-09-01,488.0
2024-10-01,577.0
2024-11-01,546.0
2024-12-01,565.0
2025-01-01,508.0
2025-02-01,664.0
2025-03-01,613.0
2025-04-01,625.0
2025-05-01,506.0
2025-06-01,554.0
2025-07-01,498.0
2025-08-01,494.0
2025-09-01,569.0
2025-10-01,556.0
2025-11-01,613.0
2025-12-01,591.0
2026-01-01,632.0
2026-02-01,569.0
2026-03-01,599.0
2026-04-01,499.0
2026-05-01,452.0
2026-06-01,468.0
2026-07-01,486.0
2026-08-01,335.0
