date,value
2016-09-01,13284975.134374844
2016-10-01,13679075.068434564
2016-11-01,13537410.082630536
2016-12-01,13613412.757133484
2017-01-01,13615321.252059309
2017-02-01,13163781.632077385
2017-03-01,13251417.724802226
2017-04-01,13294847.041890187
2017-05-01,13316870.48413559
2017-06-01,13703214.459625255
2017-07-01,13614119.735269131
2017-08-01,13276305.220883535
2017-09-01,13739784.491664903
2017-10-01,14007231.434140278
2017-11-01,14206862.303730566
2017-12-01,13482155.43641878
2018-01-01,13586998.825700387
2018-02-01,13603779.737963367
2018-03-01,13613719.26108954
2018-04-01,13616122.388937924
2018-05-01,13238506.83427021
2018-06-01,13236701.435464172
2018-07-01,13612774.263229167
2018-08-01,13645202.859156348
2018-09-01,13659389.84918394
2018-10-01,13767768.184657771
2018-11-01,13612774.263229167
2018-12-01,13787954.621287957
2019-01-01,13408045.376334358
2019-02-01,13309713.13537997
2019-03-01,13224755.85362984
2019-04-01,13225404.234039009
2019-05-01,13224755.85362984
2019-06-01,13265346.006668184
2019-07-01,13355643.464354852
2019-08-01,13325361.101780316
2019-09-01,13613238.75426824
2019-10-01,13734112.242487568
2019-11-01,13612774.263229167
2019-12-01,13829484.605087016
2020-01-01,14049650.0
2020-02-01,14712867.984110892
2020-03-01,14390647.078270834
2020-04-01,14382663.989290496
2020-05-01,14585115.282031251
2020-06-01,14687504.502989983
2020-07-01,15427066.666666666
2020-08-01,16214634.634634636
2020-09-01,16300743.368003547
2020-10-01,16350145.755579712
2020-11-01,16040459.795901086
2020-12-01,17369229.588807125
2021-01-01,16691148.55454364
2021-02-01,17366535.97133527
2021-03-01,18656247.94686382
2021-04-01,18349668.5402123
2021-05-01,17789526.798892498
2021-06-01,19108121.12957936
2021-07-01,18006083.968099345
2021-08-01,17503353.335686553
2021-09-01,17577705.782180738
2021-10-01,18279581.024942968
2021-11-01,17712473.415062685
2021-12-01,17947904.539192103
2022-01-01,16760453.887011103
2022-02-01,16658133.18984651
2022-03-01,17562089.240793776
2022-04-01,17666921.506773055
2022-05-01,18228731.397949867
2022-06-01,19033282.73782357
2022-07-01,18010894.64221674
2022-08-01,18263136.58435245
2022-09-01,18287520.15630701
2022-10-01,17460228.239460103
2022-11-01,17187220.73616396
2022-12-01,16856684.216151867
2023-01-01,16546145.943734195
2023-02-01,16293031.951053703
2023-03-01,16335329.115875002
2023-04-01,16543696.523552544
2023-05-01,16366437.73962327
2023-06-01,17113201.930916667
2023-07-01,17082813.802300382
2023-08-01,17120433.145009417
2023-09-01,17860129.987290252
2023-10-01,17771321.199865185
2023-11-01,17926486.537464045
2023-12-01,18786766.79521007
2024-01-01,17902577.3504811
2024-02-01,17949479.588978842
2024-03-01,18172813.5932034
2024-04-01,18190995.49774888
2024-05-01,18245764.754101664
2024-06-01,18776286.82996095
2024-07-01,18866945.22888218
2024-08-01,19300979.27747797
2024-09-01,19336299.15838308
2024-10-01,18729767.144765843
2024-11-01,18712075.47169812
2024-12-01,18318474.02667863
2025-01-01,18277858.75848203
2025-02-01,18674088.69191255
2025-03-01,18257176.018827178
2025-04-01,18383015.504282262
2025-05-01,18869165.58785453
2025-06-01,18869101.730209984
2025-07-01,18735989.33155526
2025-08-01,19057883.968520835
2025-09-01,19741770.55314709
2025-10-01,19842678.92110221
2025-11-01,20000806.69557326
2025-12-01,20404459.18710111
2026-01-01,20251400.233372223
2026-02-01,20940223.37056176
2026-03-01,20251400.233372223
2026-04-01,20624313.62436844
2026-05-01,21500601.82215405
2026-06-01,21809500.046364386
2026-07-01,21445193.676569976
2026-08-01,21541901.514560018
