date,value
2016-09-01,429.0
2016-10-01,522.0
2016-11-01,476.0
2016-12-01,516.0
2017-01-01,423.0
2017-02-01,518.0
2017-03-01,553.0
2017-04-01,468.0
2017-05-01,424.0
2017-06-01,442.0
2017-07-01,454.0
2017-08-01,466.0
2017-09-01,525.0
2017-10-01,431.0
2017-11-01,490.0
2017-12-01,529.0
2018-01-01,559.0
2018-02-01,630.0
2018-03-01,756.0
2018-04-01,533.0
2018-05-01,510.0
2018-06-01,545.0
2018-07-01,566.0
2018-08-01,607.0
2018-09-01,707.0
2018-10-01,651.0
2018-11-01,564.0
2018-12-01,657.0
2019-01-01,707.0
2019-02-01,516.0
2019-03-01,580.0
2019-04-01,481.0
2019-05-01,549.0
2019-06-01,618.0
2019-07-01,739.0
2019-08-01,694.0
2019-09-01,590.0
2019-10-01,774.0
2019-11-01,791.0
2019-12-01,656.0
2020-01-01,671.0
2020-02-01,802.0
2020-03-01,639.0
2020-04-01,607.0
2020-05-01,651.0
2020-06-01,743.0
2020-07-01,817.0
2020-08-01,513.0
2020-09-01,486.0
2020-10-01,561.0
2020-11-01,572.0
2020-12-01,671.0
2021-01-01,566.0
2021-02-01,548.0
2021-03-01,648.0
2021-04-01,590.0
2021-05-01,724.0
2021-06-01,700.0
2021-07-01,714.0
2021-08-01,711.0
2021-09-01,663.0
2021-10-01,682.0
2021-11-01,678.0
2021-12-01,647.0
2022-01-01,713.0
2022-02-01,676.0
2022-03-01,658.0
2022-04-01,685.0
2022-05-01,682.0
2022-06-01,704.0
2022-07-01,671.0
2022-08-01,648.0
2022-09-01,665.0
2022-10-01,626.0
2022-11-01,641.0
2022-12-01,623.0
2023-01-01,661.0
2023-02-01,687.0
2023-03-01,715.0
2023-04-01,746.0
2023-05-01,704.0
2023-06-01,695.0
2023-07-01,684.0
2023-08-01,675.0
2023-09-01,658.0
2023-10-01,690.0
2023-11-01,677.0
2023-12-01,661.0
2024-01-01,710.0
2024-02-01,678.0
2024-03-01,701.0
2024-04-01,697.0
2024-05-01,666.0
2024-06-01,707.0
2024-07-01,694.0
2024-08-01,688.0
2024-09-01,487.0
2024-10-01,682.0
2024-11-01,651.0
2024-12-01,636.0
2025-01-01,688.0
2025-02-01,672.0
2025-03-01,700.0
2025-04-01,672.0
2025-05-01,649.0
2025-06-01,694.0
2025-07-01,679.0
2025-08-01,613.0
2025-09-01,643.0
2025-10-01,654.0
2025-11-01,635.0
2025-12-01,606.0
2026-01-01,653.0
2026-02-01,531.0
2026-03-01,535.0
2026-04-01,530.0
2026-05-01,476.0
2026-06-01,506.0
2026-07-01,473.0
2026-08-01,396.0
