date,value
2016-09-01,2151280.4965883098
2016-10-01,2166445.1638777927
2016-11-01,2204969.151242288
2016-12-01,2503632.725430598
2017-01-01,2264014.840085288
2017-02-01,2307716.247334755
2017-03-01,2307716.247334755
2017-04-01,2507075.886789035
2017-05-01,1945045.8931513296
2017-06-01,2505782.302771855
2017-07-01,2224746.983582629
2017-08-01,1945973.7528278
2017-09-01,1750430.073871512
2017-10-01,1933396.8907422763
2017-11-01,2307716.247334755
2017-12-01,1945057.3616659483
2018-01-01,1949174.528301887
2018-02-01,1660259.1291366825
2018-03-01,1467678.6105005736
2018-04-01,1617111.6957795315
2018-05-01,1455267.764914352
2018-06-01,1616952.0682302774
2018-07-01,1690962.5159914717
2018-08-01,1690962.5159914717
2018-09-01,1559707.4781788157
2018-10-01,1929497.361833237
2018-11-01,1690962.5159914717
2018-12-01,1637855.5577875413
2019-01-01,1945023.0051423265
2019-02-01,1653919.917282324
2019-03-01,1926434.1449832493
2019-04-01,1931310.2356954084
2019-05-01,1560259.6162509597
2019-06-01,1505520.93963122
2019-07-01,2402167.675906184
2019-08-01,1505713.048525109
2019-09-01,1477109.0656209122
2019-10-01,1690962.5159914717
2019-11-01,2245336.334249848
2019-12-01,1473879.7385690743
2020-01-01,1802023.7334055807
2020-02-01,1663626.272825258
2020-03-01,1558990.3205649678
2020-04-01,1660855.754432923
2020-05-01,1531983.8458277984
2020-06-01,1667908.4928081054
2020-07-01,23571697.119198
2020-08-01,2243045.1893065544
2020-09-01,1949174.528301887
2020-10-01,2584726.7803837955
2020-11-01,2396550.9103425858
2020-12-01,2474063.5394456293
2021-01-01,2402167.675906184
2021-02-01,2783497.6972281453
2021-03-01,2402167.675906184
2021-04-01,2584726.7803837955
2021-05-01,2530739.139693356
2021-06-01,2608692.0682302774
2021-07-01,23571697.119198
2021-08-01,2686931.6844349685
2021-09-01,2339124.0146960584
2021-10-01,2474063.5394456293
2021-11-01,2686931.6844349685
2021-12-01,2669843.320949766
2022-01-01,2286423.315459052
2022-02-01,2905942.334739803
2022-03-01,3088089.677720691
2022-04-01,2859595.341913925
2022-05-01,2450098.2515991475
2022-06-01,2474063.5394456293
2022-07-01,2760585.032419669
2022-08-01,2571020.7736695874
2022-09-01,2879164.227999014
2022-10-01,2546390.0849618325
2022-11-01,3523931.350602281
2022-12-01,2563195.985478996
2023-01-01,2734821.6090526525
2023-02-01,2200361.450500057
2023-03-01,2406546.036423539
2023-04-01,2320594.526102382
2023-05-01,2264904.3283802965
2023-06-01,2733452.537313433
2023-07-01,2542435.0959488275
2023-08-01,2199688.7245491734
2023-09-01,2402167.675906184
2023-10-01,2571883.222155613
2023-11-01,2707214.8680947376
2023-12-01,2760942.1321961624
2024-01-01,2517764.9466950963
2024-02-01,2118142.2457200405
2024-03-01,2472164.0371849127
2024-04-01,1948760.8764999856
2024-05-01,2042809.974966301
2024-06-01,2279836.912144418
2024-07-01,1948783.852293762
2024-08-01,1972926.73846045
2024-09-01,2205336.8912608405
2024-10-01,2095815.7227388
2024-11-01,2076549.123820528
2024-12-01,2498085.6423173803
2025-01-01,2122060.9718472813
2025-02-01,2413668.807538484
2025-03-01,2204454.521205655
2025-04-01,1947222.7130824053
2025-05-01,2536790.8071289444
2025-06-01,3011059.888311188
2025-07-01,3219860.658578856
2025-08-01,9753257.312286686
2025-09-01,2212477.629601074
2025-10-01,2544390.9948046952
2025-11-01,2593185.117270789
2025-12-01,2333807.904552354
2026-01-01,2659125.838034073
2026-02-01,2451602.7599627418
2026-03-01,2497116.987365103
2026-04-01,2298407.842591949
2026-05-01,2314914.7776784934
2026-06-01,2318142.97274276
2026-07-01,2554393.1144506973
2026-08-01,2788535.9838125096
