date,value
2016-09-01,20219.52751316488
2016-10-01,18869.515336723
2016-11-01,22811.730879815987
2016-12-01,19296.69779853236
2017-01-01,18754.30483832403
2017-02-01,23629.93821247931
2017-03-01,17187.86828422877
2017-04-01,19724.77370102052
2017-05-01,24466.17044195308
2017-06-01,16916.673773987208
2017-07-01,17825.772258195077
2017-08-01,21136.242669835865
2017-09-01,26640.58022922636
2017-10-01,19454.74032575902
2017-11-01,15548.480840145843
2017-12-01,23353.883616008232
2018-01-01,19734.21914115155
2018-02-01,23544.30279207792
2018-03-01,27254.31179085421
2018-04-01,20854.53422816151
2018-05-01,16381.54646836791
2018-06-01,16551.280569998074
2018-07-01,16573.6212880833
2018-08-01,17187.86828422877
2018-09-01,27193.80440903404
2018-10-01,17187.86828422877
2018-11-01,21396.51195631708
2018-12-01,21692.59747478542
2019-01-01,20739.02132998745
2019-02-01,26681.194511702983
2019-03-01,19601.27497038485
2019-04-01,23446.99575115658
2019-05-01,20861.67658990892
2019-06-01,22209.58959006153
2019-07-01,17621.535181236675
2019-08-01,20453.050849636675
2019-09-01,26769.719683252995
2019-10-01,24905.575087895533
2019-11-01,17137.844474761256
2019-12-01,25290.06070077464
2020-01-01,20837.19405732151
2020-02-01,21008.9278100832
2020-03-01,19627.86732041433
2020-04-01,21206.39330435769
2020-05-01,15936.174315464712
2020-06-01,16093.369145543058
2020-07-01,22606.239175058392
2020-08-01,16573.6212880833
2020-09-01,17205.610638353242
2020-10-01,16573.6212880833
2020-11-01,18326.396588486143
2020-12-01,19152.95480880649
2021-01-01,23384.85480847452
2021-02-01,18191.398183776702
2021-03-01,18738.11072174053
2021-04-01,18326.396588486143
2021-05-01,23219.54645795705
2021-06-01,20978.69071476285
2021-07-01,22606.239175058392
2021-08-01,29175.688397269947
2021-09-01,30819.1997054478
2021-10-01,36257.57167596691
2021-11-01,26316.36753660505
2021-12-01,32441.609421000983
2022-01-01,33067.33665976276
2022-02-01,26520.271009429904
2022-03-01,27275.577557755776
2022-04-01,29214.61607662592
2022-05-01,28097.53609263576
2022-06-01,22606.239175058392
2022-07-01,22504.721655850903
2022-08-01,30086.82567515912
2022-09-01,23340.55071781596
2022-10-01,29231.068510593148
2022-11-01,27237.53361935533
2022-12-01,32314.366142000654
2023-01-01,33090.89899856539
2023-02-01,38098.73103491752
2023-03-01,35003.82461401638
2023-04-01,33138.63735088716
2023-05-01,35042.28908751915
2023-06-01,29317.133735367155
2023-07-01,31280.60475709699
2023-08-01,32909.999032920525
2023-09-01,32250.86103711997
2023-10-01,35034.11091144413
2023-11-01,27254.90021689157
2023-12-01,25375.010660980814
2024-01-01,34969.47295530098
2024-02-01,36951.523708671615
2024-03-01,33826.7290910515
2024-04-01,31177.10581698847
2024-05-01,27465.846945237296
2024-06-01,34244.47017244531
2024-07-01,33081.91349747103
2024-08-01,37656.32898541125
2024-09-01,32717.73555027712
2024-10-01,33104.425165304776
2024-11-01,37051.093891573546
2024-12-01,38586.96014674004
2025-01-01,40035.55163228686
2025-02-01,38909.84682684671
2025-03-01,33376.05416320228
2025-04-01,39131.11362594242
2025-05-01,37051.60804951379
2025-06-01,38896.84417612182
2025-07-01,38898.171463535175
2025-08-01,38898.171463535175
2025-09-01,37369.79790202632
2025-10-01,41942.19594508868
2025-11-01,38899.3615223679
2025-12-01,41371.34116665508
2026-01-01,40864.3171791418
2026-02-01,41460.16068979032
2026-03-01,42788.29069463696
2026-04-01,44730.79185786564
2026-05-01,32660.909711396613
2026-06-01,33081.35154226513
2026-07-01,37434.08616421715
2026-08-01,22917.157712305027
