date,value
2016-09-01,244.0
2016-10-01,282.0
2016-11-01,233.0
2016-12-01,257.0
2017-01-01,214.0
2017-02-01,243.0
2017-03-01,269.0
2017-04-01,180.0
2017-05-01,167.0
2017-06-01,261.0
2017-07-01,228.0
2017-08-01,192.0
2017-09-01,179.0
2017-10-01,168.0
2017-11-01,224.0
2017-12-01,182.0
2018-01-01,211.0
2018-02-01,204.0
2018-03-01,216.0
2018-04-01,184.0
2018-05-01,212.0
2018-06-01,227.0
2018-07-01,285.0
2018-08-01,245.0
2018-09-01,223.0
2018-10-01,357.0
2018-11-01,211.0
2018-12-01,208.0
2019-01-01,281.0
2019-02-01,203.0
2019-03-01,284.0
2019-04-01,212.0
2019-05-01,248.0
2019-06-01,261.0
2019-07-01,340.0
2019-08-01,224.0
2019-09-01,184.0
2019-10-01,261.0
2019-11-01,368.0
2019-12-01,242.0
2020-01-01,293.0
2020-02-01,312.0
2020-03-01,279.0
2020-04-01,202.0
2020-05-01,236.0
2020-06-01,294.0
2020-07-01,518.0
2020-08-01,253.0
2020-09-01,197.0
2020-10-01,289.0
2020-11-01,240.0
2020-12-01,257.0
2021-01-01,229.0
2021-02-01,179.0
2021-03-01,288.0
2021-04-01,196.0
2021-05-01,281.0
2021-06-01,329.0
2021-07-01,673.0
2021-08-01,315.0
2021-09-01,327.0
2021-10-01,325.0
2021-11-01,354.0
2021-12-01,331.0
2022-01-01,337.0
2022-02-01,335.0
2022-03-01,415.0
2022-04-01,379.0
2022-05-01,376.0
2022-06-01,380.0
2022-07-01,446.0
2022-08-01,367.0
2022-09-01,382.0
2022-10-01,429.0
2022-11-01,429.0
2022-12-01,386.0
2023-01-01,406.0
2023-02-01,362.0
2023-03-01,366.0
2023-04-01,335.0
2023-05-01,335.0
2023-06-01,381.0
2023-07-01,339.0
2023-08-01,345.0
2023-09-01,379.0
2023-10-01,384.0
2023-11-01,400.0
2023-12-01,409.0
2024-01-01,348.0
2024-02-01,367.0
2024-03-01,322.0
2024-04-01,364.0
2024-05-01,368.0
2024-06-01,334.0
2024-07-01,373.0
2024-08-01,366.0
2024-09-01,353.0
2024-10-01,420.0
2024-11-01,321.0
2024-12-01,385.0
2025-01-01,305.0
2025-02-01,336.0
2025-03-01,387.0
2025-04-01,320.0
2025-05-01,494.0
2025-06-01,446.0
2025-07-01,502.0
2025-08-01,506.0
2025-09-01,407.0
2025-10-01,383.0
2025-11-01,387.0
2025-12-01,409.0
2026-01-01,368.0
2026-02-01,327.0
2026-03-01,377.0
2026-04-01,289.0
2026-05-01,320.0
2026-06-01,311.0
2026-07-01,332.0
2026-08-01,294.0
