date,value
2016-09-01,4669209.039548024
2016-10-01,6142903.867165014
2016-11-01,5309669.129457115
2016-12-01,5786870.93650464
2017-01-01,5515559.122329022
2017-02-01,5321433.574836559
2017-03-01,3925652.7119042585
2017-04-01,4668000.282412747
2017-05-01,3972266.9486433873
2017-06-01,3201973.118334257
2017-07-01,3380681.4857702274
2017-08-01,2504815.625526184
2017-09-01,2451300.988439778
2017-10-01,2630395.880229382
2017-11-01,3241253.675127079
2017-12-01,3077190.022045182
2018-01-01,3967393.800825848
2018-02-01,2755292.5487581263
2018-03-01,2758367.491682051
2018-04-01,6922065.858538307
2018-05-01,2765896.9210174032
2018-06-01,2506805.79041957
2018-07-01,2365983.8822805285
2018-08-01,2794422.7806129646
2018-09-01,3230299.583091554
2018-10-01,2909218.536162841
2018-11-01,2739991.7115623704
2018-12-01,2501925.605004522
2019-01-01,2350088.145906372
2019-02-01,2472928.3777279253
2019-03-01,2964098.141717379
2019-04-01,2334467.133525569
2019-05-01,2352169.276780859
2019-06-01,2346427.610523461
2019-07-01,1960700.462160037
2019-08-01,1961176.28985136
2019-09-01,1946589.7876169144
2019-10-01,1946981.942621942
2019-11-01,2123103.7981837564
2019-12-01,3034264.770053476
2020-01-01,2242531.712392216
2020-02-01,2207612.541202924
2020-03-01,2347675.25829255
2020-04-01,7355084.029657526
2020-05-01,3872255.689424365
2020-06-01,3571205.9684251063
2020-07-01,3895280.6044295295
2020-08-01,4550299.061307216
2020-09-01,5280555.126726223
2020-10-01,4418332.055925205
2020-11-01,4667451.054216867
2020-12-01,5549025.393824274
2021-01-01,5445398.004974621
2021-02-01,5700392.292106737
2021-03-01,6908394.042719381
2021-04-01,5961769.079707355
2021-05-01,5002220.956243975
2021-06-01,3894576.686019358
2021-07-01,3314092.7071649963
2021-08-01,3911257.785351262
2021-09-01,3890320.6825536927
2021-10-01,7068881.551501205
2021-11-01,3917232.593576971
2021-12-01,3889634.074597012
2022-01-01,4667560.889516414
2022-02-01,5771455.445209165
2022-03-01,3995368.331728288
2022-04-01,4958700.0
2022-05-01,4622094.83368674
2022-06-01,4456757.667677789
2022-07-01,4510492.372904481
2022-08-01,5523914.592047619
2022-09-01,5514041.139303848
2022-10-01,5509735.539221814
2022-11-01,4907478.196325849
2022-12-01,4135868.885274615
2023-01-01,3891786.256666235
2023-02-01,3893757.361601885
2023-03-01,4607030.040260143
2023-04-01,4136536.485933549
2023-05-01,3987049.372972402
2023-06-01,4094082.429163359
2023-07-01,4898240.42166116
2023-08-01,3893179.5752338287
2023-09-01,4934880.302539515
2023-10-01,5002640.0308217695
2023-11-01,4408468.078013002
2023-12-01,3893147.4810188734
2024-01-01,4866522.186490023
2024-02-01,5156940.529359369
2024-03-01,3893179.5752338287
2024-04-01,4225890.45000914
2024-05-01,5510915.807583052
2024-06-01,4766834.895457824
2024-07-01,3895180.538851972
2024-08-01,4377433.82875509
2024-09-01,4742774.978552092
2024-10-01,5309669.129457115
2024-11-01,3899126.1230127225
2024-12-01,3889272.558498504
2025-01-01,3897412.00588384
2025-02-01,3895823.921777332
2025-03-01,4474648.670507293
2025-04-01,4903509.1487517245
2025-05-01,3889634.074597012
2025-06-01,5531793.842034807
2025-07-01,4314285.900723659
2025-08-01,4375355.701144861
2025-09-01,4934398.089409657
2025-10-01,4467785.883774892
2025-11-01,5516102.119138995
2025-12-01,4708877.924499026
2026-01-01,6654856.567689985
2026-02-01,5930042.483302235
2026-03-01,5565554.194547464
2026-04-01,6631317.116225578
2026-05-01,5566256.94561374
2026-06-01,5834451.111895517
2026-07-01,6509234.846059259
2026-08-01,6620480.270869994
