date,value
2016-09-01,23470.611015490536
2016-10-01,25018.668012108985
2016-11-01,22259.405773924755
2016-12-01,26323.83621856636
2017-01-01,26417.26553001547
2017-02-01,26994.931934065244
2017-03-01,27225.548526458337
2017-04-01,27399.917115623703
2017-05-01,25551.168808683906
2017-06-01,27540.688580686205
2017-07-01,28293.067629809622
2017-08-01,27550.224034982795
2017-09-01,27677.03152994759
2017-10-01,33190.76305220884
2017-11-01,27591.387201187004
2017-12-01,19757.27251086319
2018-01-01,29221.95844249102
2018-02-01,29393.59810314167
2018-03-01,33071.449055949415
2018-04-01,15576.189180215675
2018-05-01,26450.134136583987
2018-06-01,33274.561940630265
2018-07-01,33397.54167368244
2018-08-01,31500.41791291785
2018-09-01,29930.790433319064
2018-10-01,33082.13049518472
2018-11-01,33869.91013143643
2018-12-01,34721.51223621035
2019-01-01,33229.83722013913
2019-02-01,31672.68820674269
2019-03-01,30240.96932180951
2019-04-01,32416.700415676667
2019-05-01,31517.578357764272
2019-06-01,33063.51058509752
2019-07-01,36614.997822736856
2019-08-01,33190.76305220884
2019-09-01,23751.975858600374
2019-10-01,37878.37532360638
2019-11-01,36964.57156308852
2019-12-01,25551.828285802287
2020-01-01,35223.96609596672
2020-02-01,36567.579835822165
2020-03-01,31835.28034786989
2020-04-01,13618.526365348402
2020-05-01,28042.858354703785
2020-06-01,34424.42851203001
2020-07-01,30444.73468294235
2020-08-01,33397.54167368244
2020-09-01,27566.16004352392
2020-10-01,36480.38908993042
2020-11-01,32670.658231750003
2020-12-01,31643.99569627485
2021-01-01,37763.84187976814
2021-02-01,31756.76649295132
2021-03-01,31268.910215861702
2021-04-01,36316.93988666895
2021-05-01,31005.69435398825
2021-06-01,42076.999480824496
2021-07-01,44545.44132145819
2021-08-01,41304.429312175926
2021-09-01,35286.78634512636
2021-10-01,38407.34552642397
2021-11-01,42524.78284325448
2021-12-01,35866.63328325822
2022-01-01,43569.93660326994
2022-02-01,38501.00887487358
2022-03-01,43172.15375202133
2022-04-01,41329.38823137189
2022-05-01,44117.062436073495
2022-06-01,43907.195298723615
2022-07-01,39457.85168985765
2022-08-01,39046.1028923742
2022-09-01,38920.15352374673
2022-10-01,38910.07532956686
2022-11-01,43028.990651993845
2022-12-01,45997.738933820336
2023-01-01,44111.59333749212
2023-02-01,45004.6046783532
2023-03-01,39704.34129863631
2023-04-01,43440.35090286401
2023-05-01,39172.67605004854
2023-06-01,43265.27735830061
2023-07-01,42137.327973309
2023-08-01,41713.56466876972
2023-09-01,42904.71410170023
2023-10-01,46224.4530944245
2023-11-01,46704.18422849608
2023-12-01,43147.99196787149
2024-01-01,49087.78275891607
2024-02-01,44111.59333749212
2024-03-01,49198.21113649386
2024-04-01,44136.18157543391
2024-05-01,42695.79942302664
2024-06-01,46671.27070198205
2024-07-01,49022.20324145591
2024-08-01,44814.21483932599
2024-09-01,45711.30378083696
2024-10-01,46633.94307940005
2024-11-01,49786.14457831325
2024-12-01,57364.14199563307
2025-01-01,52460.029420667495
2025-02-01,51524.84011305796
2025-03-01,47199.42635206082
2025-04-01,49140.33694573183
2025-05-01,46506.34237078836
2025-06-01,50021.42950080363
2025-07-01,49595.26587764627
2025-08-01,48054.407641989405
2025-09-01,46271.83802346967
2025-10-01,49653.82619211996
2025-11-01,47652.2014890412
2025-12-01,58146.88225897864
2026-01-01,44772.52859552568
2026-02-01,49095.58574609058
2026-03-01,46915.34323930481
2026-04-01,50569.43892618499
2026-05-01,48189.93916990019
2026-06-01,55174.10746750499
2026-07-01,54500.96932136686
2026-08-01,46858.65482293463
