date,value
2016-09-01,229.0
2016-10-01,260.0
2016-11-01,199.0
2016-12-01,227.0
2017-01-01,199.0
2017-02-01,248.0
2017-03-01,203.0
2017-04-01,151.0
2017-05-01,151.0
2017-06-01,178.0
2017-07-01,156.0
2017-08-01,211.0
2017-09-01,221.0
2017-10-01,161.0
2017-11-01,152.0
2017-12-01,252.0
2018-01-01,192.0
2018-02-01,183.0
2018-03-01,197.0
2018-04-01,294.0
2018-05-01,181.0
2018-06-01,153.0
2018-07-01,161.0
2018-08-01,144.0
2018-09-01,168.0
2018-10-01,187.0
2018-11-01,141.0
2018-12-01,182.0
2019-01-01,178.0
2019-02-01,160.0
2019-03-01,206.0
2019-04-01,163.0
2019-05-01,137.0
2019-06-01,151.0
2019-07-01,152.0
2019-08-01,184.0
2019-09-01,237.0
2019-10-01,186.0
2019-11-01,209.0
2019-12-01,344.0
2020-01-01,182.0
2020-02-01,198.0
2020-03-01,149.0
2020-04-01,393.0
2020-05-01,177.0
2020-06-01,170.0
2020-07-01,169.0
2020-08-01,172.0
2020-09-01,186.0
2020-10-01,174.0
2020-11-01,175.0
2020-12-01,176.0
2021-01-01,155.0
2021-02-01,149.0
2021-03-01,181.0
2021-04-01,172.0
2021-05-01,192.0
2021-06-01,300.0
2021-07-01,286.0
2021-08-01,289.0
2021-09-01,312.0
2021-10-01,318.0
2021-11-01,322.0
2021-12-01,353.0
2022-01-01,287.0
2022-02-01,324.0
2022-03-01,342.0
2022-04-01,315.0
2022-05-01,318.0
2022-06-01,296.0
2022-07-01,329.0
2022-08-01,352.0
2022-09-01,335.0
2022-10-01,374.0
2022-11-01,359.0
2022-12-01,377.0
2023-01-01,339.0
2023-02-01,313.0
2023-03-01,285.0
2023-04-01,254.0
2023-05-01,296.0
2023-06-01,305.0
2023-07-01,316.0
2023-08-01,325.0
2023-09-01,342.0
2023-10-01,310.0
2023-11-01,323.0
2023-12-01,339.0
2024-01-01,290.0
2024-02-01,287.0
2024-03-01,299.0
2024-04-01,303.0
2024-05-01,334.0
2024-06-01,293.0
2024-07-01,306.0
2024-08-01,312.0
2024-09-01,280.0
2024-10-01,318.0
2024-11-01,349.0
2024-12-01,364.0
2025-01-01,312.0
2025-02-01,328.0
2025-03-01,300.0
2025-04-01,328.0
2025-05-01,351.0
2025-06-01,306.0
2025-07-01,321.0
2025-08-01,293.0
2025-09-01,357.0
2025-10-01,346.0
2025-11-01,365.0
2025-12-01,394.0
2026-01-01,347.0
2026-02-01,306.0
2026-03-01,352.0
2026-04-01,310.0
2026-05-01,338.0
2026-06-01,291.0
2026-07-01,312.0
2026-08-01,253.0
