company,ticker,cik,fiscal_year,fiscal_period,form,end_date,filed_date,value_usd,tag,accn,source,fetched_at,note
Amazon,AMZN,1018724,2016,Q2,10-Q,2016-06-30,2016-07-29,1711000000,PaymentsToAcquirePropertyPlantAndEquipment,0001018724-16-000286,sec_edgar_xbrl,2026-08-06T03:03:57+00:00,
Amazon,AMZN,1018724,2016,Q3,10-Q,2016-09-30,2016-10-28,1841000000,PaymentsToAcquirePropertyPlantAndEquipment,0001018724-16-000324,sec_edgar_xbrl,2026-08-06T03:03:57+00:00,
Amazon,AMZN,1018724,2017,Q1,10-Q,2017-03-31,2017-04-28,1861000000,PaymentsToAcquirePropertyPlantAndEquipment,0001018724-17-000051,sec_edgar_xbrl,2026-08-06T03:03:57+00:00,
Amazon,AMZN,1018724,2024,Q1,10-Q,2024-03-31,2024-05-01,53447000000,PaymentsToAcquireProductiveAssets,0001018724-24-000083,sec_edgar_xbrl,2026-09-01T00:23:31+00:00,"⚠ CONFLICT: 같은 end_date에 다른 값 발견, 가장 이른 filed 채택. 다른 값: $14,925,000,000(filed 2024-05-01), $53,447,000,000(filed 2025-05-02), $14,925,000,000(filed 2025-05-02)"
Amazon,AMZN,1018724,2024,Q2,10-Q,2024-06-30,2024-08-02,59612000000,PaymentsToAcquireProductiveAssets,0001018724-24-000130,sec_edgar_xbrl,2026-09-01T00:23:31+00:00,"⚠ CONFLICT: 같은 end_date에 다른 값 발견, 가장 이른 filed 채택. 다른 값: $32,545,000,000(filed 2024-08-02), $17,620,000,000(filed 2024-08-02), $59,612,000,000(filed 2025-08-01), $32,545,000,000(filed 2025-08-01), $17,620,000,000(filed 2025-08-01)"
Amazon,AMZN,1018724,2024,Q3,10-Q,2024-09-30,2024-11-01,69753000000,PaymentsToAcquireProductiveAssets,0001018724-24-000161,sec_edgar_xbrl,2026-09-01T00:23:31+00:00,"⚠ CONFLICT: 같은 end_date에 다른 값 발견, 가장 이른 filed 채택. 다른 값: $55,165,000,000(filed 2024-11-01), $22,620,000,000(filed 2024-11-01), $69,753,000,000(filed 2025-10-31), $55,165,000,000(filed 2025-10-31), $22,620,000,000(filed 2025-10-31)"
Amazon,AMZN,1018724,2025,Q1,10-Q,2025-03-31,2025-05-02,93093000000,PaymentsToAcquireProductiveAssets,0001018724-25-000036,sec_edgar_xbrl,2026-09-01T00:23:31+00:00,"⚠ CONFLICT: 같은 end_date에 다른 값 발견, 가장 이른 filed 채택. 다른 값: $25,019,000,000(filed 2025-05-02), $93,093,000,000(filed 2026-04-30), $25,019,000,000(filed 2026-04-30)"
Amazon,AMZN,1018724,2025,Q2,10-Q,2025-06-30,2025-08-01,107656000000,PaymentsToAcquireProductiveAssets,0001018724-25-000086,sec_edgar_xbrl,2026-09-01T00:23:31+00:00,"⚠ CONFLICT: 같은 end_date에 다른 값 발견, 가장 이른 filed 채택. 다른 값: $57,202,000,000(filed 2025-08-01), $32,183,000,000(filed 2025-08-01), $107,656,000,000(filed 2026-07-31), $57,202,000,000(filed 2026-07-31), $32,183,000,000(filed 2026-07-31)"
Amazon,AMZN,1018724,2025,Q3,10-Q,2025-09-30,2025-10-31,120131000000,PaymentsToAcquireProductiveAssets,0001018724-25-000123,sec_edgar_xbrl,2026-09-01T00:23:31+00:00,"⚠ CONFLICT: 같은 end_date에 다른 값 발견, 가장 이른 filed 채택. 다른 값: $92,297,000,000(filed 2025-10-31), $35,095,000,000(filed 2025-10-31)"
Amazon,AMZN,1018724,2026,Q1,10-Q,2026-03-31,2026-04-30,151003000000,PaymentsToAcquireProductiveAssets,0001018724-26-000014,sec_edgar_xbrl,2026-09-01T00:23:31+00:00,"⚠ CONFLICT: 같은 end_date에 다른 값 발견, 가장 이른 filed 채택. 다른 값: $44,203,000,000(filed 2026-04-30)"
Amazon,AMZN,1018724,2026,Q2,10-Q,2026-06-30,2026-07-31,173028000000,PaymentsToAcquireProductiveAssets,0001018724-26-000026,sec_edgar_xbrl,2026-09-01T00:23:31+00:00,"⚠ CONFLICT: 같은 end_date에 다른 값 발견, 가장 이른 filed 채택. 다른 값: $98,411,000,000(filed 2026-07-31), $54,208,000,000(filed 2026-07-31)"
Alphabet (Google),GOOGL,1652044,2024,Q1,10-Q,2024-03-31,2024-04-26,12012000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-24-000053,sec_edgar_xbrl,2026-09-01T00:23:31+00:00,
Alphabet (Google),GOOGL,1652044,2024,Q2,10-Q,2024-06-30,2024-07-24,25198000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-24-000079,sec_edgar_xbrl,2026-09-01T00:23:31+00:00,
Alphabet (Google),GOOGL,1652044,2024,Q3,10-Q,2024-09-30,2024-10-30,38259000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-24-000118,sec_edgar_xbrl,2026-09-01T00:23:31+00:00,
Alphabet (Google),GOOGL,1652044,2025,Q1,10-Q,2025-03-31,2025-04-25,17197000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-25-000043,sec_edgar_xbrl,2026-09-01T00:23:31+00:00,
Alphabet (Google),GOOGL,1652044,2025,Q2,10-Q,2025-06-30,2025-07-24,39643000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-25-000062,sec_edgar_xbrl,2026-09-01T00:23:31+00:00,
Alphabet (Google),GOOGL,1652044,2025,Q3,10-Q,2025-09-30,2025-10-30,63596000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-25-000091,sec_edgar_xbrl,2026-09-01T00:23:31+00:00,
Alphabet (Google),GOOGL,1652044,2026,Q1,10-Q,2026-03-31,2026-04-30,35674000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-26-000048,sec_edgar_xbrl,2026-09-01T00:23:31+00:00,
Alphabet (Google),GOOGL,1652044,2026,Q2,10-Q,2026-06-30,2026-07-23,80598000000,PaymentsToAcquirePropertyPlantAndEquipment,0001652044-26-000071,sec_edgar_xbrl,2026-09-01T00:23:31+00:00,
Meta Platforms,META,1326801,2023,Q3,10-Q,2023-09-30,2023-10-26,19601000000,PaymentsToAcquirePropertyPlantAndEquipment,0001326801-23-000103,sec_edgar_xbrl,2026-08-10T23:07:11+00:00,"⚠ CONFLICT: 같은 end_date에 다른 값 발견, 가장 이른 filed 채택. 다른 값: $19,453,000,000(filed 2024-10-31)"
Meta Platforms,META,1326801,2024,Q1,10-Q,2024-03-31,2024-04-25,6400000000,PaymentsToAcquirePropertyPlantAndEquipment,0001326801-24-000049,sec_edgar_xbrl,2026-09-01T00:23:31+00:00,
