date,index_code,index_name,price,change,change_pct,advancers,decliners,unchanged,limit_up,limit_down,source,fetched_at
2026-07-31,0001,KOSPI,6595.45,1001.89,17.91,775,127,15,12,0,kis_api,2026-07-31T16:21:44+00:00
2026-07-31,1001,KOSDAQ,719.76,74.98,11.63,1557,141,30,14,0,kis_api,2026-07-31T16:21:45+00:00
2026-08-01,0001,KOSPI,6595.45,1001.89,17.91,775,127,15,12,0,kis_api,2026-08-01T14:44:03+00:00
2026-08-01,1001,KOSDAQ,719.76,74.98,11.63,1557,141,30,14,0,kis_api,2026-08-01T14:44:03+00:00
2026-08-02,0001,KOSPI,6595.45,1001.89,17.91,775,127,15,12,0,kis_api,2026-08-02T14:47:47+00:00
2026-08-02,1001,KOSDAQ,719.76,74.98,11.63,1557,141,30,14,0,kis_api,2026-08-02T14:47:47+00:00
2026-08-03,0001,KOSPI,6257.45,-338.0,-5.12,455,419,43,3,0,kis_api,2026-08-03T17:23:04+00:00
2026-08-03,1001,KOSDAQ,737.35,17.59,2.44,1170,468,89,11,0,kis_api,2026-08-03T17:23:05+00:00
2026-08-04,0001,KOSPI,6358.95,101.5,1.62,788,96,31,1,0,kis_api,2026-08-04T11:00:05+00:00
2026-08-04,1001,KOSDAQ,780.72,43.37,5.88,1505,175,47,11,0,kis_api,2026-08-04T11:00:05+00:00
