date,code,label,close,source,fetched_at
1983-01-31,0001,KOSPI,118.27,kis_api,2026-08-17T02:03:27+00:00
1983-02-28,0001,KOSPI,123.5,kis_api,2026-08-17T02:03:27+00:00
1983-03-31,0001,KOSPI,119.8,kis_api,2026-08-17T02:03:27+00:00
1983-04-30,0001,KOSPI,131.44,kis_api,2026-08-17T02:03:27+00:00
1983-05-31,0001,KOSPI,125.76,kis_api,2026-08-17T02:03:27+00:00
1983-06-30,0001,KOSPI,122.44,kis_api,2026-08-17T02:03:27+00:00
1983-07-30,0001,KOSPI,125.04,kis_api,2026-08-17T02:03:27+00:00
1983-08-31,0001,KOSPI,118.82,kis_api,2026-08-17T02:03:27+00:00
1983-09-30,0001,KOSPI,117.71,kis_api,2026-08-17T02:03:27+00:00
1983-10-31,0001,KOSPI,121.42,kis_api,2026-08-17T02:03:27+00:00
1983-11-30,0001,KOSPI,117.63,kis_api,2026-08-17T02:03:27+00:00
1983-12-24,0001,KOSPI,121.21,kis_api,2026-08-17T02:03:27+00:00
1984-01-31,0001,KOSPI,124.08,kis_api,2026-08-17T02:03:27+00:00
1984-02-29,0001,KOSPI,129.66,kis_api,2026-08-17T02:03:27+00:00
1984-03-31,0001,KOSPI,132.35,kis_api,2026-08-17T02:03:27+00:00
1984-04-30,0001,KOSPI,135.6,kis_api,2026-08-17T02:03:27+00:00
1984-05-31,0001,KOSPI,130.48,kis_api,2026-08-17T02:03:27+00:00
1984-06-30,0001,KOSPI,132.12,kis_api,2026-08-17T02:03:27+00:00
1984-07-31,0001,KOSPI,134.7,kis_api,2026-08-17T02:03:27+00:00
1984-08-31,0001,KOSPI,135.34,kis_api,2026-08-17T02:03:27+00:00
1984-09-29,0001,KOSPI,134.41,kis_api,2026-08-17T02:03:27+00:00
1984-10-31,0001,KOSPI,130.33,kis_api,2026-08-17T02:03:27+00:00
1984-11-30,0001,KOSPI,135.31,kis_api,2026-08-17T02:03:27+00:00
1984-12-24,0001,KOSPI,142.46,kis_api,2026-08-17T02:03:27+00:00
1985-01-31,0001,KOSPI,138.9,kis_api,2026-08-17T02:03:27+00:00
1985-02-28,0001,KOSPI,134.72,kis_api,2026-08-17T02:03:27+00:00
1985-03-30,0001,KOSPI,136.46,kis_api,2026-08-17T02:03:27+00:00
1985-04-30,0001,KOSPI,134.15,kis_api,2026-08-17T02:03:27+00:00
1985-05-31,0001,KOSPI,134.09,kis_api,2026-08-17T02:03:27+00:00
1985-06-29,0001,KOSPI,136.58,kis_api,2026-08-17T02:03:27+00:00
1985-07-31,0001,KOSPI,137.38,kis_api,2026-08-17T02:03:27+00:00
1985-08-31,0001,KOSPI,136.49,kis_api,2026-08-17T02:03:27+00:00
1985-09-30,0001,KOSPI,138.91,kis_api,2026-08-17T02:03:27+00:00
1985-10-31,0001,KOSPI,140.89,kis_api,2026-08-17T02:03:27+00:00
1985-11-30,0001,KOSPI,150.16,kis_api,2026-08-17T02:03:27+00:00
1985-12-26,0001,KOSPI,163.37,kis_api,2026-08-17T02:03:27+00:00
1986-01-31,0001,KOSPI,160.42,kis_api,2026-08-17T02:03:27+00:00
