date,account_label,ticker,buy_date,quantity,maturity,buy_yield,buy_price,buy_amount,orderable_qty,source,fetched_at
2026-09-12,ISA,KR6023532E16,20240311,29644,20270118,4.05000000,10120,29999728,29644,kis_api,2026-09-12T13:53:55+00:00
2026-09-13,ISA,KR6023532E16,20240311,29644,20270118,4.05000000,10120,29999728,29644,kis_api,2026-09-13T14:15:56+00:00
2026-09-14,ISA,KR6023532E16,20240311,29644,20270118,4.05000000,10120,29999728,29644,kis_api,2026-09-14T16:18:46+00:00
2026-09-15,ISA,KR6023532E16,20240311,29644,20270118,4.05000000,10120,29999728,29644,kis_api,2026-09-15T14:53:38+00:00
2026-09-16,ISA,KR6023532E16,20240311,29644,20270118,4.05000000,10120,29999728,29644,kis_api,2026-09-16T14:50:25+00:00
2026-09-17,ISA,KR6023532E16,20240311,29644,20270118,4.05000000,10120,29999728,29644,kis_api,2026-09-17T14:52:56+00:00
2026-09-18,ISA,KR6023532E16,20240311,29644,20270118,4.05000000,10120,29999728,29644,kis_api,2026-09-18T14:22:53+00:00
2026-09-19,ISA,KR6023532E16,20240311,29644,20270118,4.05000000,10120,29999728,29644,kis_api,2026-09-19T13:52:30+00:00
2026-09-20,ISA,KR6023532E16,20240311,29644,20270118,4.05000000,10120,29999728,29644,kis_api,2026-09-20T14:08:10+00:00
2026-09-21,ISA,KR6023532E16,20240311,29644,20270118,4.05000000,10120,29999728,29644,kis_api,2026-09-21T16:24:37+00:00
2026-09-22,ISA,KR6023532E16,20240311,29644,20270118,4.05000000,10120,29999728,29644,kis_api,2026-09-22T14:42:15+00:00
2026-09-23,ISA,KR6023532E16,20240311,29644,20270118,4.05000000,10120,29999728,29644,kis_api,2026-09-23T14:54:40+00:00
2026-09-24,ISA,KR6023532E16,20240311,29644,20270118,4.05000000,10120,29999728,29644,kis_api,2026-09-24T14:55:52+00:00
2026-09-25,ISA,KR6023532E16,20240311,29644,20270118,4.05000000,10120,29999728,29644,kis_api,2026-09-25T15:09:22+00:00
2026-09-26,ISA,KR6023532E16,20240311,29644,20270118,4.05000000,10120,29999728,29644,kis_api,2026-09-26T14:21:59+00:00
