date,symbol,price,change,change_pct,prev_close,crosscheck,crosscheck_detail,source,fetched_at
2026-07-28,SKHY,132.74,-10.280000000000001,-7.18780590127255,143.02,,,kis_api,2026-07-28T16:22:18+00:00
2026-07-29,SKHY,127.3999,-2.770099999999985,-2.1280633018360495,130.17,,,kis_api,2026-07-29T15:59:00+00:00
2026-07-30,SKHY,147.6499,20.859899999999996,16.452322738386304,126.79,,,kis_api,2026-07-30T16:06:23+00:00
2026-07-31,SKHY,143.73,5.27,,138.45999999999998,MISMATCH,rate:-3.54|calc:+3.81|hist:-3.54,kis_api,2026-08-02T14:47:44+00:00
2026-08-03,SKHY,141.36,2.37,,138.99,MISMATCH,rate:-1.65|calc:+1.71|hist:-1.65,kis_api,2026-08-03T17:23:02+00:00
2026-08-04,SKHY,151.17,8.45,5.920683856502242,142.72,OK,rate:+5.92|calc:+5.92|hist:+5.92,kis_api,2026-08-04T16:33:24+00:00
2026-08-05,SKHY,154.025,0.355,,153.67000000000002,MISMATCH,rate:-0.23|calc:+0.23|hist:-0.23,kis_api,2026-08-05T16:18:42+00:00
2026-08-06,SKHY,140.9,10.13,,130.77,MISMATCH,rate:-6.71|calc:+7.75|hist:-6.71,kis_api,2026-08-06T10:57:24+00:00
2026-08-07,SKHY,137.91,5.62,,132.29,MISMATCH,rate:-3.92|calc:+4.25|hist:-3.92,kis_api,2026-08-09T11:15:23+00:00
2026-08-10,SKHY,135.4567,2.4533,,133.0034,MISMATCH,rate:-1.78|calc:+1.84|hist:-1.78,kis_api,2026-08-10T12:10:04+00:00
2026-08-14,SKHY,166.33,0.66,0.39838232631134185,165.67000000000002,OK,rate:+0.40|calc:+0.40|hist:+0.40,kis_api,2026-08-16T10:23:54+00:00
