date,ticker,loan_new_qty,loan_redeem_qty,loan_balance_qty,loan_balance_amt,loan_balance_rate,short_new_qty,short_redeem_qty,short_balance_qty,short_balance_amt,short_balance_rate,source,fetched_at
2026-06-18,000660,388629,449060,3243816,433218439,0.44,515,2254,3931,524876,0.00,kis_api,2026-07-31T16:21:44+00:00
2026-06-19,000660,495059,432464,3303641,444873693,0.45,1021,677,4275,618352,0.00,kis_api,2026-08-03T17:23:04+00:00
2026-06-22,000660,406398,441300,3264968,445360694,0.45,1126,1233,4168,661465,0.00,kis_api,2026-08-04T16:33:25+00:00
2026-06-23,000660,510319,588966,3179482,440926312,0.44,702,1014,3856,612661,0.00,kis_api,2026-08-05T16:18:43+00:00
2026-06-24,000660,434885,453030,3158877,444625953,0.43,584,846,3594,597303,0.00,kis_api,2026-08-06T10:57:25+00:00
2026-06-25,000660,638964,657887,3134812,459560560,0.43,948,1474,3068,469227,0.00,kis_api,2026-08-07T12:29:19+00:00
2026-06-26,000660,760050,636871,3252976,484792813,0.45,1486,1375,3179,503670,0.00,kis_api,2026-08-10T12:10:05+00:00
2026-06-29,000660,423842,447329,3225756,482807633,0.45,1660,1080,3759,683274,0.00,kis_api,2026-08-10T12:10:05+00:00
2026-06-30,000660,487372,512163,3197568,492647893,0.44,922,1747,2934,453660,0.00,kis_api,2026-08-10T12:10:05+00:00
2026-07-01,000660,301178,254492,3242273,506056048,0.44,1100,601,3433,584895,0.00,kis_api,2026-08-10T12:10:05+00:00
2026-07-02,000660,292020,236899,3295658,519533788,0.45,499,851,3081,495267,0.00,kis_api,2026-08-10T12:10:05+00:00
2026-07-03,000660,249130,264834,3277446,519744179,0.45,400,673,2808,424915,0.00,kis_api,2026-08-10T12:10:05+00:00
2026-07-06,000660,537871,481038,3329751,530485677,0.45,3357,1125,5040,917726,0.00,kis_api,2026-08-10T12:10:05+00:00
2026-07-07,000660,495272,543397,3275828,516719826,0.45,2488,4651,2877,446529,0.00,kis_api,2026-08-10T12:10:05+00:00
2026-07-08,000660,293018,266577,3299319,523598023,0.45,1760,2028,2609,390465,0.00,kis_api,2026-08-10T12:10:05+00:00
2026-07-09,000660,389298,426010,3256869,516980960,0.44,859,1314,2154,285060,0.00,kis_api,2026-08-10T12:10:05+00:00
2026-07-10,000660,635725,585894,3296400,521917008,0.45,3674,2745,3083,478324,0.00,kis_api,2026-08-10T12:10:05+00:00
2026-07-13,000660,600930,554688,3336162,523471678,0.46,3418,3501,3000,472552,0.00,kis_api,2026-08-10T12:10:05+00:00
2026-07-14,000660,525993,397525,3458878,546246225,0.48,1200,1173,3027,480361,0.00,kis_api,2026-08-10T12:10:05+00:00
2026-07-15,000660,675024,766119,3363742,530728298,0.46,3141,2278,3890,611529,0.00,kis_api,2026-08-10T12:10:05+00:00
2026-07-16,000660,944665,1015032,3282209,505318825,0.45,3198,5103,1985,250263,0.00,kis_api,2026-08-10T12:10:05+00:00
2026-07-20,000660,542576,569198,3250095,503286112,0.45,3456,1910,3531,578902,0.00,kis_api,2026-08-10T12:10:05+00:00
2026-07-21,000660,613722,531394,3324755,516110467,0.45,1205,2823,1913,241700,0.00,kis_api,2026-08-10T12:10:05+00:00
2026-07-22,000660,509064,511878,3313674,510854854,0.45,1941,1906,1948,244669,0.00,kis_api,2026-08-10T12:10:05+00:00
2026-07-23,000660,584591,454756,3431051,524716750,0.47,2984,1480,3452,521661,0.00,kis_api,2026-08-10T12:10:05+00:00
2026-07-24,000660,480439,538261,3368805,519368652,0.46,1972,3429,1995,255403,0.00,kis_api,2026-08-10T12:10:05+00:00
2026-07-27,000660,475101,519222,3318929,511258968,0.45,2975,2833,2137,282960,0.00,kis_api,2026-08-10T12:10:05+00:00
2026-07-28,000660,583877,496711,3402382,524816386,0.46,831,1145,1823,223194,0.00,kis_api,2026-08-10T12:10:05+00:00
2026-07-29,000660,323127,364120,3357135,516698334,0.45,795,550,2068,266773,0.00,kis_api,2026-08-10T12:10:05+00:00
2026-07-30,000660,646893,600070,3400437,514530262,0.45,3483,1500,4051,558642,0.00,kis_api,2026-08-10T12:10:05+00:00
2026-07-31,000660,1412863,1665231,3134004,452143092,0.42,3058,5602,1507,151566,0.00,kis_api,2026-08-10T12:10:05+00:00
2026-08-03,000660,751365,897692,2976151,422338842,0.40,2777,2029,2255,249188,0.00,kis_api,2026-08-10T12:10:05+00:00
2026-08-04,000660,977841,1163817,2783996,398027652,0.37,7994,6971,3278,461619,0.00,kis_api,2026-08-10T12:10:05+00:00
2026-08-05,000660,820170,522468,3076762,439953695,0.41,1492,3111,1659,191095,0.00,kis_api,2026-08-10T12:10:05+00:00
2026-08-06,000660,612050,607202,3070642,439458711,0.41,2728,2584,1803,210819,0.00,kis_api,2026-08-10T12:10:05+00:00
2026-08-07,000660,555247,597610,3018613,434493836,0.40,2376,1676,2503,329625,0.00,kis_api,2026-08-10T12:10:05+00:00
