date,ticker,price,change,change_pct,volume,foreign_hold_pct,foreign_hold_qty,day250_high,day250_high_date,day250_high_vrss_pct,source,fetched_at
2026-07-28,000660,1550000,-266000,-14.65,8120587,52.11,371422583,2987000,2026-06-25,-48.11,kis_api,2026-07-28T16:22:19+00:00
2026-07-29,000660,1401000,-149000,-9.61,12428883,50.77,370886154,2987000,2026-06-25,-53.1,kis_api,2026-07-29T15:59:00+00:00
2026-07-30,000660,1322000,-79000,-5.64,9543189,50.86,371541562,2987000,2026-06-25,-55.74,kis_api,2026-07-30T16:06:24+00:00
2026-07-31,000660,1718000,396000,29.95,10499619,51.22,374173579,2987000,2026-06-25,-42.48,kis_api,2026-07-31T16:21:42+00:00
2026-08-01,000660,1718000,396000,29.95,10499619,51.22,374173579,2987000,2026-06-25,-42.48,kis_api,2026-08-01T14:44:01+00:00
2026-08-02,000660,1718000,396000,29.95,10499619,51.22,374173579,2987000,2026-06-25,-42.48,kis_api,2026-08-02T14:47:45+00:00
2026-08-03,000660,1567000,-151000,-8.79,5432833,51.04,372854122,2987000,2026-06-25,-47.54,kis_api,2026-08-03T17:23:03+00:00
2026-08-04,000660,1577000,10000,0.64,5391210,50.95,372197199,2987000,2026-06-25,-47.2,kis_api,2026-08-04T16:33:24+00:00
2026-08-05,000660,1668000,91000,5.77,3945674,51.03,372740631,2987000,2026-06-25,-44.16,kis_api,2026-08-05T16:18:43+00:00
2026-08-06,000660,1495000,-173000,-10.37,5498295,51.03,372740095,2987000,2026-06-25,-49.95,kis_api,2026-08-06T10:57:24+00:00
2026-08-07,000660,1422000,-73000,-4.88,5002539,50.81,371126654,2987000,2026-06-25,-52.39,kis_api,2026-08-07T23:49:19+00:00
2026-08-08,000660,1422000,-73000,-4.88,5002539,50.81,371126654,2987000,2026-06-25,-52.39,kis_api,2026-08-08T23:03:26+00:00
2026-08-09,000660,1422000,-73000,-4.88,5002539,50.81,371126654,2987000,2026-06-25,-52.39,kis_api,2026-08-09T11:15:23+00:00
2026-08-10,000660,1420000,-2000,-0.14,3295283,50.77,370879849,2987000,2026-06-25,-52.46,kis_api,2026-08-10T12:10:05+00:00
