quarter,operating_income_krw_bn,quarter_end_close_krw,source,note
24Q1,2890,183000,sources/sk-hynix-rally-justification-analysis-2026-07.md,사용자 제공 분기별 실적표(2026-07-23 검증)
24Q2,5470,236500,sources/sk-hynix-rally-justification-analysis-2026-07.md,
24Q3,7030,174600,sources/sk-hynix-rally-justification-analysis-2026-07.md,
24Q4,8080,142300,sources/sk-hynix-rally-justification-analysis-2026-07.md,
25Q1,7440,176500,sources/sk-hynix-rally-justification-analysis-2026-07.md,
25Q2,9210,181100,sources/sk-hynix-rally-justification-analysis-2026-07.md,
25Q3,11380,410000,sources/sk-hynix-rally-justification-analysis-2026-07.md,
25Q4,19170,651000,sources/sk-hynix-rally-justification-analysis-2026-07.md,
26Q1,37610,1480000,sources/sk-hynix-rally-justification-analysis-2026-07.md,26Q2 실적발표(7/29) 전 확정치
26Q2,60500,2987000,monitoring/sk-hynix-analyst-thesis-checkpoints-status.md 2026-07-29 저녁,실적발표 7/29(영업익 60.5조·컨센서스 대비 -5.5% 미달) + 6월 종가(concepts/rally-justification-analysis.md "6월 종가 2,987,000원")
